query,origin_instruct,app,ground_truth_tool
在抖音查看商城收藏的美妆类商品，好吗？,在抖音中查看商城收藏的<筛选条件>商品,抖音,"[
    {
        ""name"": ""open_favorite_goods(app, filter_type, filter_detail_slot, order_type)"",
        ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面,并按照条件进行筛选""
    }
]"
我抖音商城收藏了些美妆品，想看看有没有打折的,在抖音极速版中联系商城<店铺>店铺的店铺客服,抖音极速版,"[
    {
        ""name"": ""open_customer_service(app, order_slot, store_slot)"",
        ""description"": ""在app应用程序中联系官方客服,或联系指令订单的店铺客服,或联系指定店铺的客服""
    }
]"
抖音极速版里我买的小米电视订单，能联系店铺客服吗？,在抖音极速版中联系商城<订单>订单的店铺客服,抖音极速版,"[
    {
        ""name"": ""open_customer_service(app, order_slot, store_slot)"",
        ""description"": ""在app应用程序中联系官方客服,或联系指令订单的店铺客服,或联系指定店铺的客服""
    }
]"
yoyo，请问在抖音极速版中，如何打开商城的国家补贴页面？,在抖音极速版中打开商城国家补贴,抖音极速版,"[
    {
        ""name"": ""open_special_page(app, page_type)"",
        ""description"": ""打开特殊页面,例如活动页面""
    }
]"
在抖音极速版商城中，能查看我收藏的电器类商品吗？,在抖音极速版中查看商城收藏的<筛选条件>商品,抖音极速版,"[
    {
        ""name"": ""open_favorite_goods(app, filter_type, filter_detail_slot, order_type)"",
        ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面,并按照条件进行筛选""
    }
]"
yoyo，我需要在快手联系商城中安踏店铺的客服,在快手中联系商城<店铺>店铺的店铺客服,快手,"[
    {
        ""name"": ""open_customer_service(app, order_slot, store_slot)"",
        ""description"": ""在app应用程序中联系官方客服,或联系指令订单的店铺客服,或联系指定店铺的客服""
    }
]"
yoyo，快手商城里三星手表订单能联系店铺客服不？,在快手中联系商城<订单>订单的店铺客服,快手,"[
    {
        ""name"": ""open_customer_service(app, order_slot, store_slot)"",
        ""description"": ""在app应用程序中联系官方客服,或联系指令订单的店铺客服,或联系指定店铺的客服""
    }
]"
yoyo，帮我看看快手商城的国家补贴在哪能看到呀？,在快手中查看商城国家补贴,快手,"[
    {
        ""name"": ""open_special_page(app, page_type)"",
        ""description"": ""打开特殊页面,例如活动页面""
    }
]"
yoyo，你能在快手极速版的商城里，找到耐克店铺的客服不？,在快手极速版中联系商城<店铺>店铺的店铺客服,快手极速版,"[
    {
        ""name"": ""open_customer_service(app, order_slot, store_slot)"",
        ""description"": ""在app应用程序中联系官方客服,或联系指令订单的店铺客服,或联系指定店铺的客服""
    }
]"
yoyo啊，我在快手极速版商城买了双阿迪达斯鞋子，不知道咋联系店铺客服呢,在快手极速版中联系商城<订单>订单的店铺客服,快手极速版,"[
    {
        ""name"": ""open_customer_service(app, order_slot, store_slot)"",
        ""description"": ""在app应用程序中联系官方客服,或联系指令订单的店铺客服,或联系指定店铺的客服""
    }
]"
yoyo，快帮我瞅瞅快手极速版商城里的国家补贴怎么查？,在快手极速版中查看商城国家补贴,快手极速版,"[
    {
        ""name"": ""open_special_page(app, page_type)"",
        ""description"": ""打开特殊页面,例如活动页面""
    }
]"
帮我在拼多多上联系下完美日记店铺的客服呗,在拼多多中联系<店铺>店铺的店铺客服,拼多多,"[
    {
        ""name"": ""open_customer_service(app, order_slot, store_slot)"",
        ""description"": ""在app应用程序中联系官方客服,或联系指令订单的店铺客服,或联系指定店铺的客服""
    }
]"
你能帮我看看拼多多上那个政府补贴是怎么回事吗？,在拼多多中查看政府补贴,拼多多,"[
    {
        ""name"": ""open_special_page(app, page_type)"",
        ""description"": ""打开特殊页面,例如活动页面""
    }
]"
我在拼多多买了三只松鼠的零食，不知道咋联系那个店铺客服呢,在拼多多中联系<订单>订单的店铺客服,拼多多,"[
    {
        ""name"": ""open_customer_service(app, order_slot, store_slot)"",
        ""description"": ""在app应用程序中联系官方客服,或联系指令订单的店铺客服,或联系指定店铺的客服""
    }
]"
帮我看看拼多多里我收藏的食品类商品呀,在拼多多中查看收藏的<筛选条件>商品,拼多多,"[
    {
        ""name"": ""open_favorite_goods(app, filter_type, filter_detail_slot, order_type)"",
        ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面,并按照条件进行筛选""
    }
]"
yoyo，我在淘宝上买了雅诗兰黛的东西，有点问题想问问客服,在淘宝中联系<店铺>店铺的店铺客服,淘宝,"[
    {
        ""name"": ""open_customer_service(app, order_slot, store_slot)"",
        ""description"": ""在app应用程序中联系官方客服,或联系指令订单的店铺客服,或联系指定店铺的客服""
    }
]"
yoyo，我想看看淘宝上的国家补贴,在淘宝中查看国家补贴,淘宝,"[
    {
        ""name"": ""open_special_page(app, page_type)"",
        ""description"": ""打开特殊页面,例如活动页面""
    }
]"
我在淘宝买的东西好像降价了，能帮我联系下客服做价保吗？,在淘宝中联系客服进行价保,淘宝,"[
    {
        ""name"": ""apply_price_protection(app)"",
        ""description"": ""在app应用程序中联系客服进行价保""
    }
]"
帮我看看淘宝上iPhone15订单能不能联系店铺客服,在淘宝中联系<订单>订单的店铺客服,淘宝,"[
    {
        ""name"": ""open_customer_service(app, order_slot, store_slot)"",
        ""description"": ""在app应用程序中联系官方客服,或联系指令订单的店铺客服,或联系指定店铺的客服""
    }
]"
yoyo，帮我在淘宝上看看待发货的订单呗,在淘宝中查看<筛选条件>订单,淘宝,"[
    {
        ""name"": ""open_orders_bought(app, order_status, filter_detail_slot)"",
        ""description"": ""在app应用程序中查看买入的指定状态的订单列表,例如待付款、待收货、待评价等。""
    }
]"
我之前在淘宝收藏了一些衣服啥的，你帮我找找那些服饰类的商品呗,在淘宝中查看我的收藏中的<筛选条件>商品,淘宝,"[
    {
        ""name"": ""open_favorite_goods(app, filter_type, filter_detail_slot, order_type)"",
        ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面,并按照条件进行筛选""
    }
]"
yoyo，打开京东帮我搜搜华为笔记本，我看看有没有合适的型号,在京东中搜索<搜索内容>,京东,"[
    {
        ""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"",
        ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""
    }
]"
帮我在京东打开联想电脑的评论看看，我想了解下性能咋样,在京东中打开<搜索内容>的评论,京东,"[
    {
        ""name"": ""open_goods_page(app, search_info_slot, page_type)"",
        ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""
    }
]"
帮我在京东把戴尔显示器的规格页面打开一下，我看看参数,在京东中打开<搜索内容>的规格,京东,"[
    {
        ""name"": ""open_goods_page(app, search_info_slot, page_type)"",
        ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""
    }
]"
嘿，yoyo！能不能在京东帮我搞到惠普打印机的参数呀？,在京东中打开<搜索内容>的参数,京东,"[
    {
        ""name"": ""open_goods_page(app, search_info_slot, page_type)"",
        ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""
    }
]"
yoyo！能在京东帮我搞出小米电视的详情页不？我想看看它的配置,在京东中打开<搜索内容>的详情,京东,"[
    {
        ""name"": ""open_goods_page(app, search_info_slot, page_type)"",
        ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""
    }
]"
在京东买的那个华硕路由器，能查到啥时候送到广州不？,在京东中查看<搜索内容>送达<地址>的时间,京东,"[
    {
        ""name"": ""search_delivery_time(app, search_info_slot, address_slot)"",
        ""description"": ""搜索一件商品并根据给出的地址查询该商品送达该地址的预估运送时间""
    }
]"
能不能帮我把三星手机在京东加入购物车呀？,在京东中加入购物车<搜索内容>,京东,[]
能不能在京东帮我把512G的iPad放进购物车呀？,在京东中加入购物车<规格>的<搜索内容>,京东,[]
可不可以帮我在京东把4个保温杯放到购物车呀？,在京东中加入购物车<数量>的<搜索内容>,京东,[]
你可以帮我在京东把索尼耳机放到购物车吗？然后要送到深圳哦,在京东中加入购物车<搜索内容>送至<地址>,京东,[]
我家里装修完缺电视，想在京东买2台55寸的TCL电视，你帮我搁购物车里呗,在京东中加入购物车<规格><数量>的<搜索内容>送至<地址>,京东,[]
yoyo呀，我听老姐妹说苹果手表好用，你帮我在京东下一个呗？,在京东中下单<搜索内容>,京东,"[
    {
        ""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"",
        ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""
    }
]"
yoyo啊，你帮我在京东把那个1TB的移动硬盘下单了哈,在京东中下单<规格>的<搜索内容>,京东,"[
    {
        ""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"",
        ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""
    }
]"
yoyo，能在京东给我们宿舍下8箱矿泉水不？,在京东中下单<数量>的<搜索内容>,京东,"[
    {
        ""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"",
        ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""
    }
]"
yoyo，能不能在京东帮我下单华为平板呀？要送到上海哦,在京东中下单<搜索内容>送至<地址>,京东,"[
    {
        ""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"",
        ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""
    }
]"
yoyo，京东上买大疆无人机能用京东白条付款不？,在京东中用<支付方式>下单<搜索内容>,京东,"[
    {
        ""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"",
        ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""
    }
]"
yoyo，我想在京东买3台21寸显示器，能不能用银行卡支付呀？然后送到成都哦。,在京东中下单<数量><规格>的<搜索内容>用<支付方式>送至<地址>,京东,"[
    {
        ""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"",
        ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""
    }
]"
我想在京东上看看那个小米手环，你先帮我把它收藏起来行不行啊？,在京东中收藏<搜索内容>,京东,"[
    {
        ""name"": ""add_into_favorite_goods(app, search_info_slot)"",
        ""description"": ""在app程序中搜索商品,并将其添加到商品收藏夹中""
    }
]"
请在京东平台打开政府补贴相关页面，帮我搜索一下空调,在京东中打开政府补贴并搜索<搜索内容>,京东,"[
    {
        ""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"",
        ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""
    }
]"
我听别人说京东上经常有新手机，你帮我搜搜看最近有没有新品呀？,在京东中搜索新品<搜索内容>,京东,"[
    {
        ""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"",
        ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""
    }
]"
帮我找找京东上能秒送的水果呗，我着急吃呢,在京东中搜索秒送<搜索内容>,京东,"[
    {
        ""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"",
        ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""
    }
]"
给我在京东把苹果官方店弄出来,在京东中打开<店铺名>店铺,京东,"[
    {
        ""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"",
        ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""
    }
]"
你能在京东的三星官方店里帮我搜搜GalaxyS24不？,在京东中<店铺名>店铺内搜索<搜索内容>,京东,"[
    {
        ""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"",
        ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""
    }
]"
那个京东上的华为店铺，你帮我把里面的手机类别弄出来看看呢,在京东中打开<店铺名>店铺的<类别>类别,京东,"[
    {
        ""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"",
        ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""
    }
]"
帮我在京东关注小米店铺好不好呀？,在京东中关注<店铺名>店铺,京东,"[
    {
        ""name"": ""add_into_favorite_stores(app, search_info_slot)"",
        ""description"": ""在app程序中按照店铺名搜索店铺,并将其添加到店铺收藏夹中""
    }
]"
yoyo，在京东上搜搜口碑好的洗发水，我急着换一款。,在京东中搜索口碑<搜索内容>,京东,"[
    {
        ""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"",
        ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""
    }
]"
我需要在京东上清除商品收藏中的耳机哈？,在京东中删除商品收藏中的<搜索内容>,京东,"[
    {
        ""name"": ""delete_favorite_goods(app, search_info_slot)"",
        ""description"": ""在app程序的商品收藏夹中搜索指定商品并将其删除""
    }
]"
在京东帮忙搜索双开门的冰箱哈,在京东中搜索商品<搜索内容>筛选<筛选条件>,京东,"[
    {
        ""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"",
        ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""
    }
]"
帮我在京东找下九阳豆浆机订单的物流单号,在京东中查看<搜索内容>订单的物流单号,京东,"[
    {
        ""name"": ""open_order_tracking_number(app, search_info_slot)"",
        ""description"": ""在app中查询指定订单的物流单号""
    }
]"
麻烦拨打下京东中兰蔻粉水400ml订单的快递电话,在京东中拨打<搜索内容>订单的快递电话,京东,"[
    {
        ""name"": ""call_order_courier(app, search_info_slot)"",
        ""description"": ""在app中拨打指定订单的快递电话""
    }
]"
京东的iPhone 15 Pro订单帮我催一下发货吧,在京东中给<搜索内容>订单催发货,京东,"[
    {
        ""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"",
        ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""
    }
]"
可以帮我催下京东中小米空调订单的配送吗,在京东中给<搜索内容>订单催配送,京东,"[
    {
        ""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"",
        ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""
    }
]"
大骨面好吃哎，京东里的白象大骨面订单，帮我确认收货,在京东中给<搜索内容>订单确认收货,京东,"[
    {
        ""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"",
        ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""
    }
]"
yoyo，京东中的信阳毛尖订单，申请一下售后,在京东中给<搜索内容>订单申请售后,京东,"[
    {
        ""name"": ""apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)"",
        ""description"": ""在app应用程序中搜索订单,并申请售后""
    }
]"
坚果大礼包漏发了，麻烦在京东中给三只松鼠坚果大礼包订单申请退款,在京东中给<搜索内容>订单申请<售后类型>且原因为<原因>,京东,"[
    {
        ""name"": ""apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)"",
        ""description"": ""在app应用程序中搜索订单,并申请售后""
    }
]"
牛肉干挺好吃的，帮我评价一下京东中的牛肉干订单吧,在京东中评价<搜索内容>订单,京东,"[
    {
        ""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"",
        ""description"": ""在app应用程序评价商城中的指定订单""
    }
]"
洞洞鞋还不错，在京东中评价下安踏洞洞鞋订单可以给五星,在京东中评价<搜索内容>订单且星级为<星级>,京东,"[
    {
        ""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"",
        ""description"": ""在app应用程序评价商城中的指定订单""
    }
]"
帮我在京东中评价Keep智能动感单车订单且评价内容为单车质量不错，安装方便，骑行顺畅，静音效果好，在家锻炼很合适,在京东中评价<搜索内容>订单且评价内容为<文本内容>,京东,"[
    {
        ""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"",
        ""description"": ""在app应用程序评价商城中的指定订单""
    }
]"
评价下京东中的牧高笛帐篷订单，再上传下图片,在京东中评价<搜索内容>订单并上传图片,京东,"[
    {
        ""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"",
        ""description"": ""在app应用程序评价商城中的指定订单""
    }
]"
YOYO，帮我在京东中评价下小米空气净化器4Pro订单，给个4星吧，评价内容为净化效果明显，噪音不大，APP控制方便，并帮我上传下图片,在京东中评价<搜索内容>订单，星级为<星级>，评价内容为<文本内容>，并上传图片,京东,"[
    {
        ""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"",
        ""description"": ""在app应用程序评价商城中的指定订单""
    }
]"
想要家纺四件套，在天猫中搜下,在天猫中搜索<搜索内容>,天猫,"[
    {
        ""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"",
        ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""
    }
]"
在天猫中看下雅诗兰黛小棕瓶精华的评论区,在天猫中打开<搜索内容>的评论,天猫,"[
    {
        ""name"": ""open_goods_page(app, search_info_slot, page_type)"",
        ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""
    }
]"
hello，麻烦在天猫中打开耐克空军一号运动鞋的规格详情页,在天猫中打开<搜索内容>的规格,天猫,"[
    {
        ""name"": ""open_goods_page(app, search_info_slot, page_type)"",
        ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""
    }
]"
看下天猫中华为Mate 60 Pro的参数信息页,在天猫中打开<搜索内容>的参数,天猫,"[
    {
        ""name"": ""open_goods_page(app, search_info_slot, page_type)"",
        ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""
    }
]"
最近想换个苏泊尔球釜电饭煲，在天猫中打开下产品详情页,在天猫中打开<搜索内容>的详情,天猫,"[
    {
        ""name"": ""open_goods_page(app, search_info_slot, page_type)"",
        ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""
    }
]"
YOYO，在阿里巴巴购物车中添加10个装的马克杯​,在阿里巴巴中加入购物车<数量>的<搜索内容>,阿里巴巴,[]
麻烦帮我把阿里巴巴XL码工作服加入下购物车​,在阿里巴巴中加入购物车<规格>的<搜索内容>,阿里巴巴,[]
可以帮我把阿里巴巴500ml规格3瓶消毒液加到购物车并送达武汉市江汉区解放大道690号吗​,在阿里巴巴中加入购物车<规格><数量>的<搜索内容>送至<地址>,阿里巴巴,[]
麻烦把阿里巴巴全自动洗衣机加入到我的购物车并送到北京市朝阳区建国路88号​,在阿里巴巴中加入购物车<搜索内容>送至<地址>,阿里巴巴,[]
听说最近荣耀MagicBook Art 14 2025笔记本很火，帮我在阿里巴巴中加入下购物车​,在阿里巴巴中加入购物车<搜索内容>,阿里巴巴,[]
洁面乳用完了，天猫上给我整个旁氏米粹洁面乳呗​,在天猫中下单<搜索内容>,天猫,"[
    {
        ""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"",
        ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""
    }
]"
300ml的欧莱雅复颜水，帮我在天猫下单,在天猫中下单<规格>的<搜索内容>,天猫,"[
    {
        ""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"",
        ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""
    }
]"
嘿，悠悠，6包的抽纸，帮我在天猫下个单呗​,在天猫中下单<数量>的<搜索内容>,天猫,"[
    {
        ""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"",
        ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""
    }
]"
帮我在天猫买个美的电水壶，寄到杭州市西湖区文三路45号哈​,在天猫中下单<搜索内容>送至<地址>,天猫,"[
    {
        ""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"",
        ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""
    }
]"
用支付宝在天猫买条李宁运动裤，能弄不​,在天猫中用<支付方式>下单<搜索内容>,天猫,"[
    {
        ""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"",
        ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""
    }
]"
2瓶750ml的洗发水，用花呗在天猫下单，寄到成都市武侯区武侯祠大街231号哈​,在天猫中下单<数量><规格>的<搜索内容>用<支付方式>送至<地址>,天猫,"[
    {
        ""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"",
        ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""
    }
]"
天猫上的SK-II神仙水，帮我收藏下,在天猫中收藏<搜索内容>,天猫,"[
    {
        ""name"": ""add_into_favorite_goods(app, search_info_slot)"",
        ""description"": ""在app程序中搜索商品,并将其添加到商品收藏夹中""
    }
]"
打开天猫的政府补贴，搜搜珀莱雅眼霜呗​,在天猫中打开政府补贴并搜索<搜索内容>,天猫,"[
    {
        ""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"",
        ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""
    }
]"
天猫里的无印良品官方店，帮我点开​,在天猫中打开<店铺名>店铺,天猫,"[
    {
        ""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"",
        ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""
    }
]"
在天猫的屈臣氏旗舰店，搜搜曼秀雷敦唇膏行不​,在天猫中<店铺名>店铺内搜索<搜索内容>,天猫,"[
    {
        ""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"",
        ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""
    }
]"
帮我打开下天猫的丝芙兰旗舰店彩妆类别页面,在天猫中打开<店铺名>店铺的<类别>类别,天猫,"[
    {
        ""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"",
        ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""
    }
]"
花西子最近很火啊，帮我关注下​天猫上的花西子官方店,在天猫中关注<店铺名>店铺,天猫,"[
    {
        ""name"": ""add_into_favorite_stores(app, search_info_slot)"",
        ""description"": ""在app程序中按照店铺名搜索店铺,并将其添加到店铺收藏夹中""
    }
]"
天猫收藏夹里的稚优泉唇釉，帮我删了呗​,在天猫中删除收藏夹中的<搜索内容>,天猫,"[
    {
        ""name"": ""delete_favorite_goods(app, search_info_slot)"",
        ""description"": ""在app程序的商品收藏夹中搜索指定商品并将其删除""
    }
]"
在天猫搜搜苹果手表，挑个45毫米的行不​,在天猫中搜索<搜索内容>筛选<筛选条件>,天猫,"[
    {
        ""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"",
        ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""
    }
]"
我在天猫买的戴森吹风机，帮我看看物流单号哈​,在天猫中查看<搜索内容>订单的物流单号,天猫,"[
    {
        ""name"": ""open_order_tracking_number(app, search_info_slot)"",
        ""description"": ""在app中查询指定订单的物流单号""
    }
]"
YOYO，天猫上买的百草味饼干，快递电话帮我找下呗,在天猫中拨打<搜索内容>订单的快递电话,天猫,"[
    {
        ""name"": ""call_order_courier(app, search_info_slot)"",
        ""description"": ""在app中拨打指定订单的快递电话""
    }
]"
帮我催下发货呗​，天猫上兰蔻粉底液订单,在天猫中给<搜索内容>订单催发货,天猫,"[
    {
        ""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"",
        ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""
    }
]"
天猫里买的小米扫地机器人订单，催下配送行不​,在天猫中给<搜索内容>订单催配送,天猫,"[
    {
        ""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"",
        ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""
    }
]"
确认下收货哈​，天猫中我买的Nike运动鞋订单,在天猫中给<搜索内容>订单确认收货,天猫,"[
    {
        ""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"",
        ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""
    }
]"
天猫上买的华为平板订单，帮我申请售后呗​,在天猫中给<搜索内容>订单申请售后,天猫,"[
    {
        ""name"": ""apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)"",
        ""description"": ""在app应用程序中搜索订单,并申请售后""
    }
]"
这面膜用着过敏啊，赶紧帮我申请退货，天猫里的资生堂面霜订单,在天猫中给<搜索内容>订单申请<售后类型>且原因为<原因>,天猫,"[
    {
        ""name"": ""apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)"",
        ""description"": ""在app应用程序中搜索订单,并申请售后""
    }
]"
帮我评价一下天猫上买的百雀羚水乳订单,在天猫中评价<搜索内容>订单,天猫,"[
    {
        ""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"",
        ""description"": ""在app应用程序评价商城中的指定订单""
    }
]"
悠悠，天猫中买的完美日记眼影订单，评价给个五星,在天猫中评价<搜索内容>订单且星级为<星级>,天猫,"[
    {
        ""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"",
        ""description"": ""在app应用程序评价商城中的指定订单""
    }
]"
稚优泉唇釉颜色很正啊，也很显白，帮我评价下吧，天猫里买的稚优泉唇釉订单​,在天猫中评价<搜索内容>订单且评价内容为<文本内容>,天猫,"[
    {
        ""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"",
        ""description"": ""在app应用程序评价商城中的指定订单""
    }
]"
天猫上买的韩束面膜订单，评价时帮我上传图片呗​,在天猫中评价<搜索内容>订单并上传图片,天猫,"[
    {
        ""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"",
        ""description"": ""在app应用程序评价商城中的指定订单""
    }
]"
天猫中买的自然堂洗面奶订单，评价给四星，内容写清洁力不错，再上传下图片,在天猫中评价<搜索内容>订单，星级为<星级>，评价内容为<文本内容>，并上传图片,天猫,"[
    {
        ""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"",
        ""description"": ""在app应用程序评价商城中的指定订单""
    }
]"
上次闲鱼上我买的二手Kindle订单，帮我看看物流单号哈​,在闲鱼中查看<搜索内容>订单的物流单号,闲鱼,"[
    {
        ""name"": ""open_order_tracking_number(app, search_info_slot)"",
        ""description"": ""在app中查询指定订单的物流单号""
    }
]"
