输入query,输入query对应的instruction,输入appname,输入大类,模型原输出,标注输出,是否标注,是否为训练集,,,,,,,,,,,,
YOYO，我今年半年前在天猫上收藏的一些商品，现在想再看看，能帮我找出来吗？,在天猫中查看收藏夹中半年前收藏的商品,天猫,收藏,<Plan>#收藏#在$天猫$中打开收藏夹</Plan><Finish>,<Plan>#收藏#在$天猫$中查看收藏夹中半年前收藏的商品</Plan><Finish>,√,1,,,,,,,,,,,,
我想在天猫商城里找到我一年前收藏的那款耳机，能帮我看看吗？,在天猫中查看收藏夹中一年前收藏的商品,天猫,收藏,<Plan>#搜索#在$天猫$中查看一年前收藏的耳机</Plan><Finish>,,,0,,,,,,,,,,,,
YOYO，能不能帮我查一下天猫收藏夹里去年这个时候收藏的商品还有没有货？,在天猫中查看收藏夹中一年前收藏的商品,天猫,收藏,<Plan>#收藏#在$天猫$中查看去年这个时候收藏的商品库存情况</Plan><Finish>,,,0,,,,,,,,,,,,
查看我在天猫上一年前收藏的商品列表。,在天猫中查看收藏夹中一年前收藏的商品,天猫,收藏,<Plan>#收藏#在$天猫$中打开收藏夹</Plan><Finish>,<Plan>#收藏#在$天猫$中查看收藏夹中一年前收藏的商品列表</Plan><Finish>,√,1,,,,,,,,,,,,
天猫里面我之前收藏的好物，一年过去了还有吗啊？,在天猫中查看收藏夹中一年前收藏的商品,天猫,收藏,<Plan>#收藏#在$天猫$中查看收藏的好物</Plan><Finish>,<Plan>#收藏#在$天猫$中查看收藏夹中一年前收藏的好物</Plan><Finish>,√,1,,,,,,,,,,,,
YOYO助手，快帮我找找看，我在天猫收藏夹里一年前加购的那个保温杯还在不在？,在天猫中查看收藏夹中一年前收藏的商品,天猫,收藏,<Plan>#收藏#在$天猫$中查看一年前加购的保温杯</Plan><Finish>,,,0,,,,,,,,,,,,
我想在天猫商城里查看最近收藏的商品，怎么操作？,在天猫中查看收藏夹按最近收藏排序,天猫,收藏,<Plan>#收藏#在$天猫$中打开收藏夹</Plan><Finish>,,,0,,,,,,,,,,,,
YOYO，帮我把天猫收藏夹里的商品按最近收藏的排序显示一下。,在天猫中查看收藏夹按最近收藏排序,天猫,收藏,<Plan>#搜索#在$天猫$中打开收藏夹并按最近收藏的排序显示商品</Plan><Finish>,,,0,,,,,,,,,,,,
天猫里的收藏夹能按最近收藏的时间来排序吗？,在天猫中查看收藏夹按最近收藏排序,天猫,收藏,<Plan>#收藏#在$天猫$中查看收藏夹并按最近收藏的时间排序</Plan><Finish>,,√,1,,,,,,,,,,,,
YOYO，我知道天猫商城有按时间排序的功能，快告诉我怎么查看最近收藏的商品。,在天猫中查看收藏夹按最近收藏排序,天猫,收藏,<Plan>#搜索#在$天猫$中查看最近收藏的商品</Plan><Finish>,<Plan>#收藏#在$天猫$中查看收藏夹中最近收藏的商品</Plan><Finish>,√,1,,,,,,,,,,,,
我在天猫收藏的东西太多了，想找最近加的，你有办法帮我排序吗？,在天猫中查看收藏夹按最近收藏排序,天猫,收藏,<Plan>#搜索#在$天猫$中按照添加时间排序收藏</Plan><Finish>,,,0,,,,,,,,,,,,
我在天猫商城里怎么按最早收藏排序查看收藏夹里的商品？,在天猫中查看收藏夹按最早收藏排序,天猫,收藏,<Plan>#搜索#在$天猫$中查看收藏夹<br>按最早收藏排序</Plan><Finish>,,,0,,,,,,,,,,,,
YoYo，帮我把天猫收藏夹里的商品按最早收藏的时间排一下。,在天猫中查看收藏夹按最早收藏排序,天猫,收藏,<Plan>#搜索#在$天猫$中打开收藏夹<br>按最早收藏的时间排序</Plan><Finish>,<Plan>#收藏#在$天猫$中查看收藏夹并按最早收藏的时间排序</Plan><Finish>,√,1,,,,,,,,,,,,
能不能让我看到天猫商城收藏夹里最早收藏的商品列表？,在天猫中查看收藏夹按最早收藏排序,天猫,收藏,<Plan>#收藏#在$天猫$中查看最早收藏的商品列表</Plan><Finish>,<Plan>#收藏#在$天猫$中查看收藏夹中最早收藏的商品列表</Plan><Finish>,√,1,,,,,,,,,,,,
天猫的收藏夹支持按收藏时间从早到晚排序吗？,在天猫中查看收藏夹按最早收藏排序,天猫,收藏,<Plan>#搜索#在$天猫$中查看收藏夹是否支持按收藏时间从早到晚排序</Plan><Finish>,,,0,,,,,,,,,,,,
YoYo，我想在天猫商城里查看最早收藏的商品，应该怎么操作？,在天猫中查看收藏夹按最早收藏排序,天猫,收藏,<Plan>#收藏#在$天猫$中打开收藏夹，并筛选 earliest 收藏的商品</Plan><Finish>,,,0,,,,,,,,,,,,
我想看看我在天猫关注的店铺列表。,在天猫中查看我关注的店铺,天猫,收藏,<Plan>#收藏#在$天猫$中查看关注的店铺列表</Plan><Finish>,,,0,,,,,,,,,,,,
YOYO，帮我打开天猫里我关注的店铺页面。,在天猫中查看我关注的店铺,天猫,收藏,<Plan>#签到#在$天猫$中查看关注的店铺</Plan><Finish>,<Plan>#收藏#在$天猫$中查看关注的店铺</Plan><Finish>,√,1,,,,,,,,,,,,
在天猫商城中怎么查看自己关注过的店铺？,在天猫中查看我关注的店铺,天猫,收藏,<Plan>#搜索#在$天猫$中查看自己关注过的店铺</Plan><Finish>,<Plan>#收藏#在$天猫$中查看自己关注过的店铺</Plan><Finish>,√,1,,,,,,,,,,,,
天猫里的店铺关注在哪里看呀？,在天猫中查看我关注的店铺,天猫,收藏,<Plan>#搜索#在$天猫$中查看关注店铺</Plan><Finish>,,,0,,,,,,,,,,,,
带我去天猫关注店铺里面逛逛。,在天猫中查看我关注的店铺,天猫,收藏,<Plan>#签到#在$天猫$中查看关注店铺</Plan><Finish>,,,0,,,,,,,,,,,,
在闲鱼市场里帮我找一下收藏夹里的“复古蓝牙音箱”。,在闲鱼中搜索我的收藏中的<搜索内容>,闲鱼,收藏,<Plan>#搜索#在$闲鱼$中查看收藏夹里的复古蓝牙音箱</Plan><Finish>,<Plan>#收藏#在$闲鱼$中搜索收藏夹里的复古蓝牙音箱</Plan><Finish>,√,1,,,,,,,,,,,,
你能帮我看看我在咸鱼收藏的那款登山背包还有货吗？,在闲鱼中搜索我的收藏中的<搜索内容>,闲鱼,收藏,<Plan>#搜索#在$闲鱼$中查看$登山背包$的库存<br>#收藏#在$闲鱼$中打开收藏</Plan><Finish>,,,0,,,,,,,,,,,,
我想在我的闲鱼收藏里找一个之前存的便携帐篷，帮我查一下。,在闲鱼中搜索我的收藏中的<搜索内容>,闲鱼,收藏,<Plan>#搜索#在$闲鱼$中打开收藏夹<br>查找$便携帐篷$</Plan><Finish>,,,0,,,,,,,,,,,,
我的闲鱼关注列表里有没有我之前收藏的那个手工皮具？,在闲鱼中搜索我的收藏中的<搜索内容>,闲鱼,收藏,<Plan>#收藏#在$闲鱼$中查看收藏列表</Plan><Finish>,,,0,,,,,,,,,,,,
快帮我查查闲鱼上我收藏的那个智能手环还能不能下单！,在闲鱼中搜索我的收藏中的<搜索内容>,闲鱼,收藏,<Plan>#收藏#在$闲鱼$中查看我收藏的智能手环</Plan><Finish>,<Plan>#收藏#在$闲鱼$中搜索收藏的智能手环</Plan><Finish>,√,1,,,,,,,,,,,,
闲鱼市场里能直接看我的收藏吗？,在闲鱼中查看我的收藏,闲鱼,收藏,<Plan>#搜索#在$闲鱼$中查看我的收藏</Plan><Finish>,<Plan>#收藏#在$闲鱼$中查看我的收藏</Plan><Finish>,√,1,,,,,,,,,,,,
YoYo，帮我打开闲鱼二手里的收藏夹。,在闲鱼中查看我的收藏,闲鱼,收藏,<Plan>#收藏#在$闲鱼$中打开收藏夹</Plan><Finish>,,√,1,,,,,,,,,,,,
快点带我去咸鱼上看看我收藏的商品！,在闲鱼中查看我的收藏,闲鱼,收藏,<Plan>#收藏#在$闲鱼$中打开收藏夹</Plan><Finish>,,,0,,,,,,,,,,,,
在闲鱼市场中怎么找不到查看收藏的入口？,在闲鱼中查看我的收藏,闲鱼,收藏,<Plan>#收藏#在$闲鱼$中查看收藏</Plan><Finish>,,,0,,,,,,,,,,,,
YoYo，我想在闲鱼查看我之前收藏的东西，能帮我吗？,在闲鱼中查看我的收藏,闲鱼,收藏,<Plan>#收藏#在$闲鱼$中查看我之前收藏的东西</Plan><Finish>,,,0,,,,,,,,,,,,
我想去闲鱼市场收藏里看看最近有没有降价的二手手机。,在闲鱼中查看降价宝贝,闲鱼,收藏,<Plan>#收藏#在$闲鱼$中查看降价的二手手机</Plan><Finish>,,,0,,,,,,,,,,,,
YoYo，帮我找找闲鱼上收藏里正在降价促销的好物！,在闲鱼中查看降价宝贝,闲鱼,收藏,<Plan>#搜索#在$闲鱼$中打开收藏夹，查找正在降价促销的好物</Plan><Finish>,<Plan>#收藏#在$闲鱼$中查看收藏夹中正在降价促销的好物</Plan><Finish>,√,1,,,,,,,,,,,,
在咸鱼上怎么查看那些收藏里正在打折降价的宝贝？,在闲鱼中查看降价宝贝,闲鱼,收藏,<Plan>#搜索#在$闲鱼$中打开收藏<br>筛选打折降价的宝贝</Plan><Finish>,,,0,,,,,,,,,,,,
YoYo，能不能带我在闲鱼二手平台收藏上浏览一下降价中的商品？,在闲鱼中查看降价宝贝,闲鱼,收藏,<Plan>#收藏#在$闲鱼$中打开收藏夹，并筛选降价中的商品</Plan><Finish>,<Plan>#收藏#在$闲鱼$中查看收藏夹中降价中的商品</Plan><Finish>,√,1,,,,,,,,,,,,
快！带我去闲鱼看看哪些收藏里的宝贝刚刚降价了！,在闲鱼中查看降价宝贝,闲鱼,收藏,<Plan>#搜索#在$闲鱼$中查看收藏里的宝贝降价信息</Plan><Finish>,,,0,,,,,,,,,,,,
闲鱼里我收藏的宝贝是不是还没有失效？,在闲鱼中查看我收藏的有效宝贝,闲鱼,收藏,<Plan>#收藏#在$闲鱼$中查看收藏的宝贝</Plan><Finish>,,,0,,,,,,,,,,,,
YOYO，帮我查一下我在闲鱼市场里收藏的那些有效宝贝。,在闲鱼中查看我收藏的有效宝贝,闲鱼,收藏,<Plan>#收藏#在$闲鱼$中查看有效宝贝</Plan><Finish>,,,0,,,,,,,,,,,,
快看看我的咸鱼收藏夹里有什么好东西还没失效。,在闲鱼中查看我收藏的有效宝贝,闲鱼,收藏,<Plan>#收藏#在$闲鱼$中查看收藏夹中未失效的好东西</Plan><Finish>,,√,1,,,,,,,,,,,,
在闲鱼二手上，我之前收藏的有效东西怎么找啊？,在闲鱼中查看我收藏的有效宝贝,闲鱼,收藏,<Plan>#收藏#在$闲鱼$中打开收藏夹</Plan><Finish>,,,0,,,,,,,,,,,,
YOYO，我在闲鱼收藏的宝贝哪些是有效的？,在闲鱼中查看我收藏的有效宝贝,闲鱼,收藏,<Plan>#收藏#在$闲鱼$中查看收藏的宝贝是否被下架</Plan><Finish>,<Plan>#收藏#在$闲鱼$中查看收藏的有效宝贝</Plan><Finish>,√,1,,,,,,,,,,,,
我在闲鱼收藏夹里的宝贝有些失效了，YOYO你能帮我看看是哪些吗？,在闲鱼中查看我收藏的失效宝贝,闲鱼,收藏,<Plan>#收藏#在$闲鱼$中查看收藏夹中的失效宝贝</Plan><Finish>,,,0,,,,,,,,,,,,
能不能在闲鱼二手上帮我查看一下目前收藏的失效商品？,在闲鱼中查看我收藏的失效宝贝,闲鱼,收藏,<Plan>#收藏#在$闲鱼$中查看失效商品</Plan><Finish>,,,0,,,,,,,,,,,,
YOYO，我想查一下在咸鱼上收藏但已经失效的宝贝，有办法吗？,在闲鱼中查看我收藏的失效宝贝,闲鱼,收藏,<Plan>#收藏#在$闲鱼$中打开收藏夹，并筛选已失效的宝贝</Plan><Finish>,,,0,,,,,,,,,,,,
帮我检查一下闲鱼市场里我收藏的宝贝有没有失效的好不好？,在闲鱼中查看我收藏的失效宝贝,闲鱼,收藏,<Plan>#搜索#在$闲鱼$中查看我收藏的宝贝是否失效</Plan><Finish>,<Plan>#收藏#在$闲鱼$中查看我收藏的宝贝是否失效</Plan><Finish>,√,1,,,,,,,,,,,,
YOYO助手，现在我在闲鱼app里收藏的宝贝有哪些已经失效了？,在闲鱼中查看我收藏的失效宝贝,闲鱼,收藏,<Plan>#收藏#在$闲鱼$中打开收藏夹，并筛选失效的宝贝</Plan><Finish>,<Plan>#收藏#在$闲鱼$中查看收藏夹中失效的宝贝</Plan><Finish>,√,1,,,,,,,,,,,,
YoYo，帮我打开抖音火山版里的收藏夹，看看我之前收藏的那些杯子还在不在。,在抖音火山版中查看收藏的商品,抖音火山版,收藏,<Plan>#收藏#在$抖音火山版$中打开收藏夹</Plan><Finish>,,√,1,,,,,,,,,,,,
抖音火山app里怎么查看自己收藏过的商品啊？,在抖音火山版中查看收藏的商品,抖音火山版,收藏,<Plan>#搜索#在$抖音火山版$中打开收藏</Plan><Finish>,,,0,,,,,,,,,,,,
快带我去抖音火山版的商品收藏列表里逛逛，有没有打折的可以下手了。,在抖音火山版中查看收藏的商品,抖音火山版,收藏,<Plan>#搜索#在$抖音火山版$中打开商品收藏列表<br>查看打折商品</Plan><Finish>,,,0,,,,,,,,,,,,
抖音火山小视频里面收藏的商品还能找到吗？,在抖音火山版中查看收藏的商品,抖音火山版,收藏,<Plan>#搜索#在$抖音$中打开收藏夹<br>查找收纳盒</Plan><Finish>,<Plan>#收藏#在$抖音火山版$中查看收藏夹</Plan><Finish>,√,1,,,,,,,,,,,,
抖音火山版收藏的商品在哪里看？教教我操作一下呗。,在抖音火山版中查看收藏的商品,抖音火山版,收藏,<Plan>#搜索#在$抖音火山版$中查看收藏的商品</Plan><Finish>,,,0,,,,,,,,,,,,
YoYo，在阿里巴巴帮我找一下收藏夹里的北面羽绒服。,在阿里巴巴中搜索收藏中的<搜索内容>,阿里巴巴,收藏,<Plan>#收藏#在$阿里巴巴$中查看北面羽绒服</Plan><Finish>,,,0,,,,,,,,,,,,
我想在阿里巴巴查看收藏夹里的乐高积木，能帮我吗？,在阿里巴巴中搜索收藏中的<搜索内容>,阿里巴巴,收藏,<Plan>#收藏#在$阿里巴巴$中打开收藏夹<br>查看乐高积木</Plan><Finish>,<Plan>#收藏#在$阿里巴巴$中搜索收藏夹中的乐高积木</Plan><Finish>,√,1,,,,,,,,,,,,
阿里巴巴收藏里的美的电饭煲有没有货？,在阿里巴巴中搜索收藏中的<搜索内容>,阿里巴巴,收藏,<Plan>#搜索#在$阿里巴巴$中打开收藏查看美的电饭煲是否有货</Plan><Finish>,<Plan>#收藏#在$阿里巴巴$中搜索收藏夹中的美的电饭煲是否有货</Plan><Finish>,√,1,,,,,,,,,,,,
能不能帮我查查阿里巴巴收藏夹里还有没有这款手机壳？,在阿里巴巴中搜索收藏中的<搜索内容>,阿里巴巴,收藏,<Plan>#收藏#在$阿里巴巴$中查看手机壳</Plan><Finish>,,,0,,,,,,,,,,,,
快帮我看看阿里巴巴收藏里的怎么没有之前存的蓝牙耳机了？,在阿里巴巴中搜索收藏中的<搜索内容>,阿里巴巴,收藏,<Plan>#搜索#在$阿里巴巴$中查看收藏里的蓝牙耳机</Plan><Finish>,,,0,,,,,,,,,,,,
YoYo，在阿里巴巴上找一下有没有关注卖复古风窗帘的店铺。,在阿里巴巴中搜索关注店铺中的<搜索内容>,阿里巴巴,收藏,<Plan>#搜索#在$阿里巴巴$中查找关注卖复古风窗帘的店铺</Plan><Finish>,<Plan>#收藏#在$阿里巴巴$中搜索关注的卖复古风窗帘的店铺</Plan><Finish>,√,1,,,,,,,,,,,,
我想在我的阿里巴巴关注列表里找一家专门做宠物用品的店，能帮我看看吗？,在阿里巴巴中搜索关注店铺中的<搜索内容>,阿里巴巴,收藏,<Plan>#搜索#在$阿里巴巴$中查看宠物用品店<br>#收藏#在$阿里巴巴$中打开收藏</Plan><Finish>,,,0,,,,,,,,,,,,
快帮我查查阿里巴巴里关注的店铺有没有卖无线蓝牙耳机的！,在阿里巴巴中搜索关注店铺中的<搜索内容>,阿里巴巴,收藏,<Plan>#搜索#在$阿里巴巴$中查看关注的店铺是否有卖无线蓝牙耳机</Plan><Finish>,,,0,,,,,,,,,,,,
阿里巴巴里的关注店铺能不能搜户外野营用具啊？,在阿里巴巴中搜索关注店铺中的<搜索内容>,阿里巴巴,收藏,<Plan>#搜索#在$阿里巴巴$中搜索户外野营用具<br>#收藏#打开$阿里巴巴$中的关注店铺</Plan><Finish>,<Plan>#收藏#在$阿里巴巴$中搜索关注店铺中的户外野营用具</Plan><Finish>,√,1,,,,,,,,,,,,
在1688的关注店铺里搜索“韩版修身西装外套”，有结果吗？,在阿里巴巴中搜索关注店铺中的<搜索内容>,阿里巴巴,收藏,<Plan>#搜索#在$阿里巴巴$中搜索“韩版修身西装外套”<br>#签到#在$阿里巴巴$的关注店铺中查看</Plan><Finish>,,,0,,,,,,,,,,,,
YoYo，快帮我打开阿里巴巴看看我关注的店铺有没有新品上架！,在阿里巴巴中查看关注的店铺,阿里巴巴,收藏,<Plan>#搜索#在$阿里巴巴$中查看关注的店铺新品上架</Plan><Finish>,,,0,,,,,,,,,,,,
我想在1688里查看之前收藏的店铺，能帮我吗？,在阿里巴巴中查看关注的店铺,阿里巴巴,收藏,<Plan>#收藏#在$阿里巴巴$中查看之前收藏的店铺</Plan><Finish>,,,0,,,,,,,,,,,,
YoYo，我在阿里巴巴的关注店铺里有个叫啥啥啥的店，能找到吗？,在阿里巴巴中查看关注的店铺,阿里巴巴,收藏,<Plan>#搜索#在$阿里巴巴$中查看关注店铺里的叫啥啥啥的店</Plan><Finish>,<Plan>#收藏#在$阿里巴巴$中查看关注店铺里的叫啥啥啥的店</Plan><Finish>,√,1,,,,,,,,,,,,
请带我进入阿里巴巴的关注店铺页面。,在阿里巴巴中查看关注的店铺,阿里巴巴,收藏,<Plan>#签到#在$阿里巴巴$中查看关注店铺</Plan><Finish>,<Plan>#收藏#在$阿里巴巴$中查看关注店铺</Plan><Finish>,√,1,,,,,,,,,,,,
哎呀，我忘记在哪个平台关注了一家店铺，是不是在1688上啊？,在阿里巴巴中查看关注的店铺,阿里巴巴,收藏,<Plan>#搜索#在$阿里巴巴$中查看关注的店铺</Plan><Finish>,,,0,,,,,,,,,,,,
YoYo，帮我看看阿里巴巴里收藏的东西都有哪些。,在阿里巴巴中查看收藏,阿里巴巴,收藏,<Plan>#收藏#在$阿里巴巴$中查看收藏</Plan><Finish>,,,0,,,,,,,,,,,,
我想在1688里面查看我收藏的商品，能教我怎么操作吗？,在阿里巴巴中查看收藏,阿里巴巴,收藏,<Plan>#收藏#在$阿里巴巴$中查看收藏的商品</Plan><Finish>,,√,1,,,,,,,,,,,,
快点带我去阿里巴巴收藏夹逛逛！,在阿里巴巴中查看收藏,阿里巴巴,收藏,<Plan>#收藏#在$阿里巴巴$中打开收藏夹</Plan><Finish>,,,0,,,,,,,,,,,,
我的宝贝收藏怎么在阿里巴巴上找不到啊？,在阿里巴巴中查看收藏,阿里巴巴,收藏,<Plan>#收藏#在$阿里巴巴$中打开收藏夹</Plan><Finish>,,,0,,,,,,,,,,,,
阿里巴巴里的收藏功能怎么用的？,在阿里巴巴中查看收藏,阿里巴巴,收藏,<Plan>#收藏#在$阿里巴巴$中打开收藏夹<br>查找或使用筛选功能找到$得物$相关商品</Plan><Finish>,<Plan>#收藏#在$阿里巴巴$中打开收藏夹</Plan><Finish>,√,1,,,,,,,,,,,,
YoYo，帮我看看阿里巴巴里我收藏的商品有没有降价的。,在阿里巴巴中查看收藏中降价商品,阿里巴巴,收藏,<Plan>#搜索#在$阿里巴巴$中查看我收藏的商品是否降价</Plan><Finish>,,,0,,,,,,,,,,,,
我想在1688里面查看收藏夹里哪些商品最近降价了？,在阿里巴巴中查看收藏中降价商品,阿里巴巴,收藏,<Plan>#搜索#在$阿里巴巴$中查看收藏夹里最近降价的商品</Plan><Finish>,<Plan>#收藏#在$阿里巴巴$中查看收藏夹里最近降价的商品</Plan><Finish>,√,1,,,,,,,,,,,,
快帮我查一下阿里巴巴收藏夹里的降价商品！,在阿里巴巴中查看收藏中降价商品,阿里巴巴,收藏,<Plan>#搜索#在$阿里巴巴$中打开收藏夹并查看降价商品</Plan><Finish>,,,0,,,,,,,,,,,,
YoYo，在1688中怎么找到我收藏中正在打折的商品呀？,在阿里巴巴中查看收藏中降价商品,阿里巴巴,收藏,<Plan>#收藏#在$阿里巴巴$中打开收藏夹并查找正在打折的商品</Plan><Finish>,<Plan>#收藏#在$阿里巴巴$中查看收藏夹中正在打折的商品</Plan><Finish>,√,1,,,,,,,,,,,,
YoYo助手，我在阿里巴巴收藏的商品降价了吗？,在阿里巴巴中查看收藏中降价商品,阿里巴巴,收藏,<Plan>#搜索#在$阿里巴巴$中查看收藏的商品降价情况</Plan><Finish>,,,0,,,,,,,,,,,,
YoYo，快帮我看看阿里巴巴里收藏的那些低价补货商品有没有上新。,在阿里巴巴中查看收藏中低价补货商品,阿里巴巴,收藏,<Plan>#收藏#在$阿里巴巴$中查看低价补货商品是否有上新</Plan><Finish>,<Plan>#收藏#在$阿里巴巴$中查看收藏夹中低价补货商品是否有上新</Plan><Finish>,√,1,,,,,,,,,,,,
我在阿里巴巴收藏了一些低价补货的商品，能帮我查一下有没有补货吗？,在阿里巴巴中查看收藏中低价补货商品,阿里巴巴,收藏,<Plan>#搜索#在$阿里巴巴$中查看低价补货的商品<br>#收藏#在$阿里巴巴$中打开收藏夹</Plan><Finish>,<Plan>#收藏#在$阿里巴巴$中查看收藏夹中低价补货的商品</Plan><Finish>,√,1,,,,,,,,,,,,
能不能去1688上找找我之前收藏的那些低价补货商品有没有重新上架？,在阿里巴巴中查看收藏中低价补货商品,阿里巴巴,收藏,<Plan>#收藏#在$阿里巴巴$中查看低价补货商品是否重新上架</Plan><Finish>,,,0,,,,,,,,,,,,
哎呀，我的1688收藏夹里有几个低价补货的宝贝好久没看了，你帮我查查有没有更新吧！,在阿里巴巴中查看收藏中低价补货商品,阿里巴巴,收藏,<Plan>#收藏#在$阿里巴巴$中查看低价补货的宝贝</Plan><Finish>,,,0,,,,,,,,,,,,
我想在阿里巴巴网站上查看我收藏的低价补货商品，你能帮我操作一下吗？,在阿里巴巴中查看收藏中低价补货商品,阿里巴巴,收藏,<Plan>#收藏#在$阿里巴巴$中打开收藏夹<br>#查看#在收藏夹中查看低价补货商品</Plan><Finish>,,,0,,,,,,,,,,,,
阿里巴巴里怎么查看我收藏买过的商品？,在阿里巴巴中查看收藏中买过商品,阿里巴巴,收藏,<Plan>#收藏#在$阿里巴巴$中查看收藏买过的商品</Plan><Finish>,,,0,,,,,,,,,,,,
YoYo，帮我打开阿里巴巴收藏夹里的已购商品列表。,在阿里巴巴中查看收藏中买过商品,阿里巴巴,收藏,<Plan>#收藏#在$阿里巴巴$中查看已购商品列表</Plan><Finish>,<Plan>#收藏#在$阿里巴巴$中查看收藏夹中已购商品列表</Plan><Finish>,√,1,,,,,,,,,,,,
我想在1688里面查看之前买过的收藏商品，怎么操作？,在阿里巴巴中查看收藏中买过商品,阿里巴巴,收藏,<Plan>#收藏#在$阿里巴巴$中查看之前买过的收藏商品</Plan><Finish>,,,0,,,,,,,,,,,,
快告诉我，在阿里巴巴哪里能找到已经购买过的收藏品！,在阿里巴巴中查看收藏中买过商品,阿里巴巴,收藏,<Plan>#搜索#在$阿里巴巴$中查找已经购买过的收藏品<br>#收藏#在$阿里巴巴$中打开收藏夹</Plan><Finish>,<Plan>#收藏#在$阿里巴巴$中查找收藏夹中已经购买过的商品</Plan><Finish>,√,1,,,,,,,,,,,,
YoYo，我在淘宝上能看到买过的收藏商品，那在阿里巴巴可以吗？,在阿里巴巴中查看收藏中买过商品,阿里巴巴,收藏,<Plan>#搜索#在$阿里巴巴$中查看买过的收藏商品<br>#搜索#在$淘宝$中查看买过的收藏商品</Plan><Finish>,,,0,,,,,,,,,,,,
YoYo，快帮我看看唯品会上有没有收藏夹里的那款无线耳机。,在唯品会中搜索收藏中的<搜索内容>,唯品会,收藏,<Plan>#搜索#在$唯品会$中查看收藏夹里的无线耳机</Plan><Finish>,,,0,,,,,,,,,,,,
我想在唯品会里找找收藏的复古风连衣裙，能帮我查一下吗？,在唯品会中搜索收藏中的<搜索内容>,唯品会,收藏,<Plan>#搜索#在$唯品会$中查找复古风连衣裙<br>#收藏#在$唯品会$中查看收藏</Plan><Finish>,<Plan>#收藏#在$唯品会$中搜索收藏的复古风连衣裙</Plan><Finish>,√,1,,,,,,,,,,,,
唯品会收藏里的运动鞋怎么找不到？你帮我搜一下行不行？,在唯品会中搜索收藏中的<搜索内容>,唯品会,收藏,<Plan>#搜索#在$唯品会$中打开收藏夹，查找运动鞋<br>#搜索#在$唯品会$中搜索运动鞋</Plan><Finish>,,,0,,,,,,,,,,,,
在唯品会收藏夹中有一款保温杯，帮我查找一下是否还有货。,在唯品会中搜索收藏中的<搜索内容>,唯品会,收藏,<Plan>#搜索#在$唯品会$中查看$保温杯$在收藏夹中的库存情况</Plan><Finish>,,,0,,,,,,,,,,,,
YoYo，我在唯品会关注的商品里有个收纳箱，现在有没有优惠活动？,在唯品会中搜索收藏中的<搜索内容>,唯品会,收藏,<Plan>#搜索#在$唯品会$中查看关注的商品<br>筛选#收藏#在$唯品会$中查看关注的收纳箱是否有优惠活动</Plan><Finish>,<Plan>#收藏#在$唯品会$中搜索关注的收纳箱是否有优惠活动</Plan><Finish>,√,1,,,,,,,,,,,,
YOYO，快帮我看看我在唯品会的收藏夹里都有啥好东西。,在唯品会中查看我的收藏,唯品会,收藏,<Plan>#收藏#在$唯品会$中打开收藏夹</Plan><Finish>,,√,1,,,,,,,,,,,,
我想在唯品会上查看我收藏的商品，能帮我打开吗？,在唯品会中查看我的收藏,唯品会,收藏,<Plan>#收藏#在$唯品会$中打开收藏夹</Plan><Finish>,,√,1,,,,,,,,,,,,
YoYo助手，带我去唯品会收藏页面逛逛呗～,在唯品会中查看我的收藏,唯品会,收藏,<Plan>#收藏#在$唯品会$中打开收藏夹</Plan><Finish>,,,0,,,,,,,,,,,,
唯品会里的收藏列表在哪啊？教教我怎么找到！,在唯品会中查看我的收藏,唯品会,收藏,<Plan>#收藏#在$唯品会$中打开收藏夹</Plan><Finish>,,,0,,,,,,,,,,,,
快点带我去看看唯品会的我的收藏页面，我之前加购了好多东西！,在唯品会中查看我的收藏,唯品会,收藏,<Plan>#收藏#在$唯品会$中打开收藏夹</Plan><Finish>,,,0,,,,,,,,,,,,
YoYo，快帮我看看唯品会里我的收藏商品有没有降价的！,在唯品会中查看我的收藏中降价商品,唯品会,收藏,<Plan>#搜索#在$唯品会$中查看我的收藏商品是否有降价</Plan><Finish>,,,0,,,,,,,,,,,,
唯品会上我收藏的商品最近有优惠吗？,在唯品会中查看我的收藏中降价商品,唯品会,收藏,<Plan>#搜索#在$唯品会$中查看收藏的商品优惠</Plan><Finish>,,,0,,,,,,,,,,,,
查一下我在唯品会的收藏夹里有哪些东西正在打折。,在唯品会中查看我的收藏中降价商品,唯品会,收藏,<Plan>#收藏#在$唯品会$中查看打折商品</Plan><Finish>,,,0,,,,,,,,,,,,
我想在唯品会查看我收藏中的商品有没有降价，你能帮我吗？,在唯品会中查看我的收藏中降价商品,唯品会,收藏,<Plan>#搜索#在$唯品会$中查看我收藏中的商品是否有降价</Plan><Finish>,<Plan>#收藏#在$唯品会$中查看我收藏中的商品是否有降价</Plan><Finish>,√,1,,,,,,,,,,,,
唯品会收藏夹里的商品是不是有促销活动啊？,在唯品会中查看我的收藏中降价商品,唯品会,收藏,<Plan>#搜索#在$唯品会$中查看收藏夹是否有促销活动</Plan><Finish>,<Plan>#收藏#在$唯品会$中查看收藏夹是否有促销活动</Plan><Finish>,√,1,,,,,,,,,,,,
唯品会里的收藏夹里有没有有货的商品呀？,在唯品会中查看我的收藏中有货商品,唯品会,收藏,<Plan>#收藏#在$唯品会$中查看收藏夹是否有有货的商品</Plan><Finish>,,,0,,,,,,,,,,,,
