大类,app,指令,query,是否重复（1/0）,修改后query,plan（在xx中做什么）,问题,标注人,assistant,,,,,,,
购物-评价,快手,在快手中评价商城<搜索内容>订单，星级为<星级>，评价内容为<文本内容>，并上传图片,请帮我在我用的快手app上评价一个订单，商品是运动鞋，星级是4星，评价内容是“鞋子穿着挺舒服的，就是颜色和图片有点色差”，还要上传几张图片。,,请帮我在我用的快手app商城上评价一个订单，商品是运动鞋，星级是4星，评价内容是“鞋子穿着挺舒服的，就是颜色和图片有点色差”，还要上传几张图片。,在快手app中评价商城运动鞋订单，星级为4星，评价内容为鞋子穿着挺舒服的，就是颜色和图片有点色差，并上传几张图片,√,于玺,好的，已经帮您在快手App商城上对运动鞋订单进行了4星评价，评价内容为“鞋子穿着挺舒服的，就是颜色和图片有点色差”，并且也已经为您上传了相关图片啦。如果还有其他需要帮助的，随时告诉我哦～,,,,,,,
购物-搜索,快手,在快手中打开商城的国家补贴并搜索<搜索内容>,在快手短视频里打开商城的国家补贴并搜索手机壳。,,,在快手短视频中打开商城的国家补贴并搜索手机壳,√,于玺,好的，已经在快手短视频里为您打开了商城的国家补贴页面，并搜索了手机壳，有需要进一步帮助的随时告诉我哦~,,,,,,,
购物-搜索,快手,在快手中打开商城的国家补贴并搜索<搜索内容>,帮我到极速版快手里面开启商城的国家补贴，然后搜一下运动鞋。,,帮我到快手里面开启商城的国家补贴，然后搜一下运动鞋。,在快手中打开商城的国家补贴并搜索运动鞋,√,于玺,好的呀，已经帮您在快手里面开启商城的国家补贴功能，并为您搜索了运动鞋，现在您可以方便地查看和选购啦，还有什么需要帮忙的吗？,,,,,,,
购物-搜索,快手极速版,在快手极速版的商城中搜索<搜索内容>,帮我打开快手极速，搜一下儿童玩具。,,帮我打开快手极速商城，搜一下儿童玩具。,在快手极速中的商城搜索儿童玩具,√,于玺,好的，已经为您打开快手极速商城，并搜索了儿童玩具，希望里面有您喜欢的商品哦。还需要YoYo帮您做点什么吗？,,,,,,,
购物-搜索,快手极速版,在快手极速版的商城中搜索<搜索内容>,在快手极速版里能搜到小米手机吗？,,在快手极速版商城里能搜到小米手机吗？,在快手极速版中的商城搜索小米手机,√,于玺,好的，已经在快手极速版商城为您搜索了小米手机，目前是可以搜到的哦。如果需要进一步帮助，随时告诉我呢~,,,,,,,
购物-打开,快手极速版,在快手极速版的商城中打开<搜索内容>的评论,我在快手极速里怎么找不到这个商品的评论呢，帮我打开一下看看。,,我在快手极速商城里怎么找不到这个连衣裙商品的评论呢，帮我打开一下看看。,在快手极速中的商城打开连衣裙商品的评论,√,于玺,好的，已经在快手极速商城中为您找到该连衣裙商品并打开了评论页面，您可以查看其他买家的评价和晒图啦。需要我帮您做其他操作吗？,,,,,,,
购物-打开,快手极速版,在快手极速版的商城中打开<搜索内容>的评论,能帮我在极速版快手里面找到这款手机壳的评论吗？,,能帮我在极速版商城快手里面找到这款手机壳的评论吗？,在快手极速版中的商城查找手机壳的评论,√,于玺,好的，已经在极速版商城快手为您找到了这款手机壳的评论页面，您可以查看其他买家的评价和晒图啦，有需要进一步帮助随时告诉我哦~,,,,,,,
购物-打开,快手极速版,在快手极速版的商城中打开<搜索内容>的规格,帮我打开快手极速版商城里连衣裙的规格选项。,,,在快手极速版中的商城打开连衣裙的规格选项,√,于玺,好的，已经为您打开快手极速版商城里连衣裙的布料选项啦，您可以根据喜好挑选合适的面料呢。还有其他需要帮忙的吗？,,,,,,,
购物-打开,快手极速版,在快手极速版的商城中打开<搜索内容>的规格,YoYo，快去快手极速商城里查看一下运动鞋的不同尺码信息。,,,在快手极速中的商城查看运动鞋的不同尺码信息,√,于玺,好的呢，已经帮您查看了快手极速商城里运动鞋的不同尺码信息，有需要可以随时告诉我哦。,,,,,,,
购物-打开,快手极速版,在快手极速版的商城中打开<搜索内容>的参数,帮我打开快手极速版商城里的连衣裙搜索页面。,,帮我搜一下快手极速版商城里的刮胡刀，看看具体的参数。,在快手极速版中的商城查看刮胡刀的具体参数,√,于玺,好的，已经在快手极速版商城帮您找到刮胡刀的相关信息，目前展示的主要参数包括：充电式设计、刀头类型有不锈钢和钛金可选、续航时间大约为60分钟、支持全身水洗等。具体商品详情可根据您的需求进一步查看哦，还有其他需要帮忙的吗？,,,,,,,
购物-打开,快手极速版,在快手极速版的商城中打开<搜索内容>的参数,快手极速版商城能搜到小米手机吗？,,快手极速版商城能搜到小米手机吗，我想看看参数怎么样？,在快手极速版中的商城查看小米手机的参数,√,于玺,好的，已经在快手极速版商城为您搜索到了小米手机的相关信息，您可以查看详细参数和用户评价，有需要进一步帮助可以随时告诉我哦~,,,,,,,
购物-打开,快手极速版,在快手极速版的商城中打开<搜索内容>的详情,打开快手极速版，我要看连衣裙的详情。,,打开快手极速版商城，我要看连衣裙的详情。,在快手极速版中的商城查看连衣裙的详情,√,于玺,好的，已经为您打开快手极速版商城的连衣裙详情页面啦，快来看看有没有喜欢的款式吧～有需要进一步帮助可以随时告诉我哦！,,,,,,,
购物-打开,快手极速版,在快手极速版的商城中打开<搜索内容>的详情,帮我查一下快手极速里运动鞋的详情页。,,帮我查一下快手极速商城里运动鞋的详情页。,在快手极速中的商城查看运动鞋的详情页,√,于玺,好的，已经在快手极速商城为您找到运动鞋的详情页，款式多样、价格实惠，需要帮您挑选或下单吗？YoYo随时为您服务~,,,,,,,
购物-购物车,快手极速版,在快手极速版的商城中将<搜索内容>加入购物车,在快手极速版商城里帮我把无线蓝牙耳机加入购物车。,,,在快手极速版中的商城把无线蓝牙耳机加入购物车,√,于玺,好的呀，已经帮您将无线蓝牙耳机加入快手极速版商城的购物车啦，随时可以去结算哦。还有其他需要帮忙的吗？,,,,,,,
购物-购物车,快手极速版,在快手极速版的商城中将<搜索内容>加入购物车,我想在快手极速里搜索一款运动手环，然后加购了。,,我想在快手极速里的商城搜索一款运动手环，然后加入购物车。,在快手极速中的商城把运动手环加入购物车,√,于玺,好的，已经帮您在快手极速版里找到心仪的运动手环，并成功加入购物车啦~ 有需要还可以随时找YoYo哦，祝您购物愉快！,,,,,,,
购物-购物车,快手极速版,在快手极速版的商城中将<规格>的<搜索内容>加入购物车,在快手极速版的商城里帮我把黑色L码的T恤加到购物车里。,,,在快手极速版中的商城把黑色L码的T恤加入购物车,√,于玺,好的呀，已经帮您将黑色L码的T恤加入快手极速版商城的购物车啦，随时可以去结算哦。还有其他需要帮忙的吗？,,,,,,,
购物-购物车,快手极速版,在快手极速版的商城中将<规格>的<搜索内容>加入购物车,快手极速版里能帮我把儿童积木套装加入购物车吗？,,快手极速版商城里能帮我把中型的儿童积木套装加入购物车吗？,在快手极速版中的商城把中型的儿童积木套装加入购物车,√,于玺,好的，已为您将中型的儿童积木套装加入快手极速版商城的购物车啦，随时可以去结算呢～还有其他想买的，也可以告诉我哦！,,,,,,,
购物-购物车,快手极速版,在快手极速版的商城中将<数量>的<搜索内容>加入购物车,在快手极速版商城里帮我把3件男士短袖衬衫加入购物车。,,,在快手极速版中的商城把3件男士短袖衬衫加入购物车,√,于玺,好的，已为您将3件男士短袖衬衫加入快手极速版商城的购物车，随时可以去结算哦。还有其他需要帮忙的吗？,,,,,,,
购物-购物车,快手极速版,在快手极速版的商城中将<数量>的<搜索内容>加入购物车,快手极速版里面的商品，能帮我把“儿童玩具积木”搜索出来并加入购物车2个吗？,,,在快手极速版中的商城把2个儿童玩具积木加入购物车,√,于玺,好的呀，已经在快手极速版里为您搜索到“儿童玩具积木”，并挑选了两个加入购物车啦。如果有其他需要，随时告诉我哦~,,,,,,,
购物-购物车,快手极速版,在快手极速版的商城中将<数量><规格>的<搜索内容>加入购物车,在快手极速版的商城里帮我把大号的牛奶杯加入购物车2个。,,,在快手极速版中的商城把2个大号的牛奶杯加入购物车,√,于玺,好的，已为您将大号牛奶杯加入购物车两个，数量已经确认无误。在快手极速版商城里，还有其他需要帮您挑选的吗？YoYo随时待命哦~,,,,,,,
购物-购物车,快手极速版,在快手极速版的商城中将<数量><规格>的<搜索内容>加入购物车,快帮我往快手极速里加购两件L码的纯棉T恤。,,,在快手极速中的商城加购两件L码的纯棉T恤,√,于玺,好的呀，已经帮您往快手极速里加购了两件L码的纯棉T恤啦，随时可以去结算哦~需要YoYo帮您留意优惠信息吗？,,,,,,,
购物-下单,快手极速版,在快手极速版的商城中下单<搜索内容>,在快手极速版商城里帮我下单一件连衣裙。,,,在快手极速版中的商城下单一件连衣裙,√,于玺,好的呀，已经在快手极速版商城为您下单了一件连衣裙，期待它能为您的日常增添一抹亮色呢。还有其他需要帮忙的吗？,,,,,,,
购物-下单,快手极速版,在快手极速版的商城中下单<搜索内容>,快手极速版里能下单搜索儿童玩具吗？,,快手极速版商城里能下单搜索儿童玩具吗？,在快手极速版中的商城下单儿童玩具,√,于玺,好的，已经帮您在快手极速版商城搜索了儿童玩具，页面显示有很多可爱的小玩具可以选择呢，有需要我帮您挑选一下吗？,,,,,,,
购物-下单,快手极速版,在快手极速版的商城中下单<规格>的<搜索内容>,在快手极速版的商城里下单红色连衣裙要L号的连衣裙。,,,在快手极速版中的商城下单L号的红色连衣裙,√,于玺,好的，已经为您在快手极速版商城下单红色大号连衣裙，期待您的收货好评哦，有其他需要随时找我呢～,,,,,,,
购物-下单,快手极速版,在快手极速版的商城中下单<规格>的<搜索内容>,帮我直接在快手极速版下单42码的运动鞋。,,帮我直接在快手极速版商城下单42码的运动鞋。,在快手极速版中的商城下单42码的运动鞋,√,于玺,好的，已经帮您在快手极速版下单42码的运动鞋啦，订单信息已同步，有需要随时找我哦～,,,,,,,
购物-下单,快手极速版,在快手极速版的商城中下单<数量>的<搜索内容>,在快手极速版的商城里给我下单3件男士短袖。,,,在快手极速版中的商城下单3件男士短袖,√,于玺,好的，已经在快手极速版商城里为您下单了3件男士短袖，期待它们早日送到您手中，有其他需要随时找我哦～,,,,,,,
购物-下单,快手极速版,在快手极速版的商城中下单<数量>的<搜索内容>,能不能在快手极速版上帮我下单2双运动袜？,,,在快手极速版中的商城下单2双运动袜,√,于玺,好的，已经在快手极速版上为您下单了2双运动袜，期待它们早日送到您手中哦～还有其他需要帮忙的吗？,,,,,,,
购物-下单,快手极速版,在快手极速版的商城中下单<搜索内容>送至<地址>,在快手极速版的商城里下单儿童滑板车送到北京市朝阳区建国路88号soho现代城c座1102室。,,,在快手极速版中的商城下单儿童滑板车送到北京市朝阳区建国路88号soho现代城c座1102室,√,于玺,好的，已为您在快手极速版商城下单儿童滑板车，并填写了北京市朝阳区建国路88号SOHO现代城C座1102室的收货地址。订单信息已确认无误，有需要可以随时叫YoYo哦~,,,,,,,
购物-下单,快手极速版,在快手极速版的商城中下单<搜索内容>送至<地址>,帮我直接在快手极速下单一件夏季连衣裙，地址填杭州市西湖区文三路159号湖畔雅居3栋201。,,帮我直接在快手极速商城下单一件夏季连衣裙，地址填杭州市西湖区文三路159号湖畔雅居3栋201。,在快手极速中的商城下单一件夏季连衣裙，地址为杭州市西湖区文三路159号湖畔雅居3栋201,√,于玺,已为您在快手极速商城下单一件夏季连衣裙，收货地址填写为杭州市西湖区文三路159号湖畔雅居3栋201。订单提交成功，快递信息后续可在订单详情中查看哦。还有其他需要帮忙的吗？,,,,,,,
购物-下单,快手极速版,在快手极速版的商城中用<支付方式>下单<搜索内容>,在快手极速下单一双运动鞋用微信支付。,,在快手极速版商城下单一双运动鞋用微信支付。,在快手极速版中的商城用微信支付下单一双运动鞋,√,于玺,好的，已为您在快手极速版商城成功下单运动鞋，并完成微信支付，订单正在处理中。有需要随时找YoYo哦~,,,,,,,
购物-下单,快手极速版,在快手极速版的商城中用<支付方式>下单<搜索内容>,帮我用支付宝在快手极速版里买一件连衣裙。,,帮我用支付宝在快手极速版商城里买一件连衣裙。,在快手极速版中的商城用支付宝购买一件连衣裙,√,于玺,好的呀，已经帮您在快手极速版商城里用支付宝下单了一件连衣裙，期待它能准时送到您的手中呢。还有其他需要帮忙的吗？,,,,,,,
购物-下单,快手极速版,在快手极速版的商城中下单<数量><规格>的<搜索内容>用<支付方式>送至<地址>,在快手极速下单两件L码的男士T恤，用微信支付送到朝阳区建国路88号SOHO现代城B座1205室。,,在快手极速商城下单两件L码的男士T恤，用微信支付送到朝阳区建国路88号SOHO现代城B座1205室。,在快手极速中的商城下单两件L码的男士T恤，用微信支付送到朝阳区建国路88号SOHO现代城B座1205室,√,于玺,好的，已经在快手极速商城为您下单了两件L码的男士T恤，用微信完成支付，并填写了朝阳区建国路88号SOHO现代城B座1205室的收货地址。预计很快就能送达，有需要可以随时找YoYo哦~,,,,,,,
购物-下单,快手极速版,在快手极速版的商城中下单<数量><规格>的<搜索内容>用<支付方式>送至<地址>,我想在极速版快手买一盒规格为200g的有机奶粉，用支付宝付款，地址是海淀区中关村大街5号院3号楼602。,,我想在极速版快手商城买一盒规格为200g的有机奶粉，用支付宝付款，地址是海淀区中关村大街5号院3号楼602。,在极速版快手中的商城购买一盒规格为200g的有机奶粉，用支付宝付款，地址为海淀区中关村大街5号院3号楼602,√,于玺,好的，已为您在极速版快手商城下单200g的有机奶粉，付款方式选择了支付宝，收货地址也填写好了海淀区中关村大街5号院3号楼602。订单提交成功，预计很快就会发货啦！有需要可以再叫YoYo哦～,,,,,,,
购物-收藏,快手极速版,在快手极速版的商城中收藏<搜索内容>,帮我把快手极速里的这款蓝牙耳机加入收藏夹。,,帮我把快手极速版商城里的这款蓝牙耳机加入收藏夹。,在快手极速版中的商城将蓝牙耳机加入收藏夹,√,于玺,好的，已帮您将快手极速版商城里的这款蓝牙耳机加入收藏夹啦，随时可以回去查看哦。还有其他需要帮忙的吗？,,,,,,,
购物-收藏,快手极速版,在快手极速版的商城中收藏<搜索内容>,快手极速版商城里搜索儿童玩具能收藏吗？,,,在快手极速版中的商城收藏儿童玩具,√,于玺,好的，已经帮您在快手极速版商城里找到儿童玩具的相关商品啦，目前是可以正常收藏的哦。有需要的话随时告诉我，YoYo随时为您服务～,,,,,,,
购物-搜索,快手极速版,在快手极速版的商城直播中搜索<搜索内容>,帮我打开快手极速版，搜索商城直播里的连衣裙。,,,在快手极速版中搜索商城直播中的连衣裙,√,于玺,好的，已经为您打开快手极速版，并搜索了商城直播里的连衣裙，有喜欢的款式可以随时告诉我哦。,,,,,,,
购物-搜索,快手极速版,在快手极速版的商城直播中搜索<搜索内容>,我在快手极速版的商城直播里怎么找不到运动鞋相关的直播呢？,,,在快手极速版中的商城直播中搜索运动鞋,√,于玺,好的，已经为您查询了快手极速版商城直播的相关信息，目前运动鞋类目可能暂时没有直播场次，您可以关注平台更新或搜索相关店铺了解更多信息哦。需要我帮您看看其他商品吗？,,,,,,,
购物-打开,快手极速版,在快手极速版中打开商城中的<店铺名>店铺,快手极速里怎么打开商城里的“韩都衣舍”店铺啊？,,快手极速商城里怎么打开商城里的“韩都衣舍”店铺啊？,在快手极速中打开商城中的韩都衣舍店铺,√,于玺,好的呀，已经帮您找到并打开快手极速商城里的“韩都衣舍”店铺啦，快去看看有没有喜欢的衣服吧～还有需要帮忙的尽管说哦！,,,,,,,
购物-打开,快手极速版,在快手极速版中打开商城中的<店铺名>店铺,帮我直接跳转到快手极速版里面的海尔官方旗舰店。,,帮我直接跳转到快手极速版商城里面的海尔官方旗舰店。,在快手极速版中打开商城中的海尔官方旗舰店,√,于玺,好的呀，已经帮您跳转到快手极速版商城里的海尔官方旗舰店啦，有需要可以随时告诉我哦～,,,,,,,
购物-打开,快手极速版,在快手极速版中商城中的<店铺名>店铺内搜索<搜索内容>,在快手极速里找一下三只松鼠店铺里的坚果礼盒。,,在快手极速商城里找一下三只松鼠店铺里的坚果礼盒。,在快手极速中商城中查找三只松鼠店铺中的坚果礼盒,√,于玺,好的，已经在快手极速商城中为您找到三只松鼠店铺，并筛选出坚果礼盒的相关商品啦，快去看看有没有心仪的款式吧～有需要进一步帮助可以随时喊YoYo哦！,,,,,,,
购物-打开,快手极速版,在快手极速版中商城中的<店铺名>店铺内搜索<搜索内容>,帮我看看极速版快手的良品铺子店有没有卖辣条的。,,帮我找一下极速版快手商城的良品铺子店有没有卖辣条的。,在极速版快手中商城中的良品铺子店铺内查找辣条,√,于玺,好的，已经帮您查看了极速版快手商城的良品铺子店，目前有多种口味的辣条在售哦，需要我帮您筛选一下吗？,,,,,,,
购物-打开,快手极速版,在快手极速版中打开商城中的<店铺名>店铺的<类别>类别,快手极速版里怎么打开小米官方店的手机类别？,,快手极速版商城里怎么打开小米官方店的手机类别？,在快手极速版中打开商城中的小米官方店的手机类别,√,于玺,好的呀，已经帮您找到并打开了快手极速版商城中小米官方店的手机类别页面啦～有需要可以随时告诉我哦，祝您购物愉快～,,,,,,,
购物-打开,快手极速版,在快手极速版中打开商城中的<店铺名>店铺的<类别>类别,帮我直接进快手极速版里的良品铺子店铺，找零食分类。,,帮我直接进快手极速版商城里的良品铺子店铺，找零食分类。,在快手极速版中打开商城中的良品铺子店铺的零食分类,√,于玺,好的呀，已经帮您进入快手极速版商城的良品铺子店铺，并为您找到了零食分类啦。您可以放心挑选心仪的小零食哦，有需要还可以再找YoYo帮忙~,,,,,,,
购物-收藏,快手极速版,在快手极速版中关注商城中的<店铺名>店铺,快手极速版里怎么关注商城里的南极人店铺啊？,,,在快手极速版中关注商城中的南极人店铺,√,于玺,好的，已经帮您关注了快手极速版商城里的南极人店铺，现在可以随时查看他们的最新商品啦。还有其他想了解的吗？,,,,,,,
购物-收藏,快手极速版,在快手极速版中关注商城中的<店铺名>店铺,帮我关注一下快手极速里面的小米官方店铺。,,帮我关注一下快手极速商城里面的小米官方店铺。,在快手极速中的商城关注小米官方店铺,√,于玺,好的呢，已经帮您关注了快手极速商城中的小米官方店铺，有最新的活动或上新信息会第一时间推送给您哦。还有其他想了解的可以随时告诉YoYo~,,,,,,,
购物-搜索,快手极速版,在快手极速版中搜索商城中的<搜索内容>筛选<筛选条件>,在快手极速版里找一下商城中的连衣裙，筛选条件是包邮。,,,在快手极速版中查找商城中的连衣裙，筛选条件为包邮,√,于玺,好的，已经在快手极速版商城中为您筛选出包邮的连衣裙啦，快去看看有没有喜欢的款式吧，有需要还可以随时找YoYo哦~,,,,,,,
购物-搜索,快手极速版,在快手极速版中搜索商城中的<搜索内容>筛选<筛选条件>,帮我查查快手极速版商城里的运动鞋，筛选价格在200元以下。,,,在快手极速版中查看商城中的运动鞋，筛选价格在200元以下,√,于玺,好的，已经为您在快手极速版商城筛选出200元以下的运动鞋啦，种类还挺丰富的，有需要可以随时告诉我哦。,,,,,,,
购物-物流,快手极速版,在快手极速版中查看商城<搜索内容>订单的物流单号,帮我打开快手极速版，查看商城里手机壳订单的物流单号。,,帮我打开快手极速版查看商城里手机壳订单的物流单号。,在快手极速版中查看商城中手机壳订单的物流单号,√,吴姜涛,好的呀，已经为您打开快手极速版的商城订单页面啦，您可以查看手机壳订单的物流单号咯。要是还需要别的帮助，随时告诉YoYo哦～,,,,,,,
购物-物流,快手极速版,在快手极速版中查看商城<搜索内容>订单的物流单号,在极速版快手里查一下我最近下单的运动鞋订单，物流单号是多少？,,在极速版快手里查一下我最近下单的运动鞋订单的物流单号是多少？,在极速版快手中查看运动鞋订单的物流单号,√,吴姜涛,好的，已经在极速版快手为您查到了最近下单的运动鞋订单，物流单号是SF123456789。快递正在路上，预计这两天就能送达啦，有其他需要也可以随时告诉我哦~,,,,,,,
购物-物流,快手极速版,在快手极速版中拨打商城<搜索内容>订单的快递电话,我在快手极速里怎么找不到商城里的手机壳订单快递电话？,,我在快手极速里怎么找不到商城里的手机壳订单快递电话？,在快手极速中查找商城手机壳订单的快递电话,√,吴姜涛,好的，已经帮您查询了快手极速版里的手机壳订单快递电话，目前可能由于版本更新或页面调整，暂时没有直接显示快递电话呢。您可以尝试在订单详情页点击“联系客服”获取更多信息哦，有需要随时告诉我~,,,,,,,
购物-物流,快手极速版,在快手极速版中拨打商城<搜索内容>订单的快递电话,帮我查一下极速版快手商城里那双运动鞋的快递电话。,,帮我查一下极速版快手商城里那双运动鞋订单的快递电话。,在极速版快手中的商城查看运动鞋订单的快递电话,√,吴姜涛,好的，已经在极速版快手商城中为您找到那双运动鞋订单的快递信息，快递电话是1234567890。如果有其他需要，请随时告诉YoYo哦~,,,,,,,
购物-物流,快手极速版,在快手极速版中给商城<搜索内容>订单催发货,快手极速版里怎么催商城订单发货啊？,,快手极速版里怎么催商城手机壳订单发货啊？,在快手极速版中催商城手机壳订单发货,√,吴姜涛,好的，已帮您找到快手极速版商城中手机壳订单的催发货入口，如果需要进一步操作可以随时告诉我哦。,,,,,,,
购物-物流,快手极速版,在快手极速版中给商城<搜索内容>订单催发货,帮我给快手极速版商城里的运动鞋订单催促发货。,,帮我给快手极速版商城里的运动鞋订单催促发货。,在快手极速版中给商城运动鞋订单催促发货,√,吴姜涛,好的，已经帮您催促发货啦，快递马上就要出发啦！有其他需要也可以随时找我哦~,,,,,,,
购物-物流,快手极速版,在快手极速版中给商城<搜索内容>订单催配送,快手极速版里怎么催商城订单的配送啊？,,快手极速版里怎么催商城运动鞋订单的配送啊？,在快手极速版中催商城运动鞋订单的配送,√,吴姜涛,好的，已为您找到快手极速版商城中运动鞋订单的配送催促入口，还贴心地为您跳转到了对应页面，有需要随时找YoYo哦~,,,,,,,
购物-物流,快手极速版,在快手极速版中给商城<搜索内容>订单催配送,帮我给快手极速版商城里买的手机壳订单催促一下配送。,,帮我给快手极速版商城里买的手机壳订单催促一下配送。,在快手极速版中给商城手机壳订单催配送,√,吴姜涛,好的，已经帮您催促了快手极速版商城手机壳订单的配送，预计物流会有更快的更新，请注意查收哦。还有其他需要帮忙的吗？,,,,,,,
购物-物流,快手极速版,在快手极速版中给商城<搜索内容>订单确认收货,快手极速版里怎么确认收货啊？,,快手极速版里商城的手机壳订单怎么确认收货啊？,在快手极速版中给商城手机壳订单确认收货,√,吴姜涛,已经帮您确认快手极速版商城手机壳的订单收货啦，有需要其他帮助随时找我哦~,,,,,,,
购物-物流,快手极速版,在快手极速版中给商城<搜索内容>订单确认收货,帮我确认一下快手极速版商城里那件连衣裙的订单收货。,,帮我确认一下快手极速版商城里那件连衣裙的订单收货。,在快手极速版中给商城连衣裙订单确认收货,√,吴姜涛,好的，已为您确认快手极速版商城那件连衣裙的订单收货，有需要随时找我哦。,,,,,,,
购物-订单,快手极速版,在快手极速版中给商城<搜索内容>订单申请售后,快手极速版里怎么给商城买的运动鞋订单申请售后？,,快手极速版里怎么给商城买的运动鞋订单申请售后？,在快手极速版中给商城运动鞋订单申请售后,√,吴姜涛,好的，已为您找到快手极速版商城中购买的运动鞋订单，并为您准备好售后申请入口，有需要随时告诉我哦~,,,,,,,
购物-订单,快手极速版,在快手极速版中给商城<搜索内容>订单申请售后,在极速版快手上找到商城的订单，怎么给那条连衣裙申请退货退款？,,在极速版快手上找到商城的订单给那条连衣裙申请退货退款？,在极速版快手中给商城连衣裙订单申请退货退款,√,吴姜涛,好的，已经在极速版快手帮您找到商城的连衣裙订单，并提交了退货退款申请啦~ 有其他需要也可以随时找我哦！,,,,,,,
购物-订单,快手极速版,在快手极速版中给商城<搜索内容>订单申请<售后类型>且原因为<原因>,我在快手极速版里给商城搜索手机壳订单申请退货退款，售后原因是质量问题。,,我在快手极速版里给商城搜索手机壳订单申请退货退款，售后原因是质量问题。,在快手极速版中给商城手机壳订单申请退货退款，售后原因为质量问题,√,吴姜涛,好的，已经为您提交了快手极速版商城手机壳订单的退货退款申请，售后原因选择的是质量问题。处理结果会通过系统通知您，有需要随时找我哦~,,,,,,,
购物-订单,快手极速版,在快手极速版中给商城<搜索内容>订单申请<售后类型>且原因为<原因>,快手极速版里面帮我给商城下单的运动鞋订单申请换货，原因选尺码不合适。,,快手极速版里面帮我给商城下单的运动鞋订单申请换货，原因选尺码不合适。,在快手极速版中给商城运动鞋订单申请换货，原因选尺码不合适,√,吴姜涛,好的，已经帮您为快手极速版商城中的运动鞋订单申请了换货，原因选择的是尺码不合适。新尺码如不合适也可以再次帮忙处理哦，有需要随时找我YoYo~,,,,,,,
购物-评价,快手极速版,在快手极速版中评价商城<搜索内容>订单,我在快手极速版里怎么评价商城买的运动鞋订单啊？,,我在快手极速版里怎么评价商城买的运动鞋订单啊？,在快手极速版中评价商城运动鞋订单,√,吴姜涛,好的，已经帮您在快手极速版里找到运动鞋订单的评价入口啦，可以随时去评价咯。还有别的需要帮忙的吗？,,,,,,,
购物-评价,快手极速版,在快手极速版中评价商城<搜索内容>订单,帮我给快手极速版商城里的手机壳订单写个5星好评，内容要写这个手机壳质感很好，包装也很用心。,,帮我给快手极速版商城里的手机壳订单写个好评,在快手极速版中给商城手机壳订单写好评,√,吴姜涛,已经帮您在快手极速版商城里给手机壳订单写好了好评，希望对您有帮助！还有其他需要帮忙的吗？,,,,,,,
购物-评价,快手极速版,在快手极速版中评价商城<搜索内容>订单且星级为<星级>,快手极速里怎么给之前买的运动鞋订单评5星好评？,,快手极速里怎么给之前买的运动鞋订单评5星好评？,在快手极速中给运动鞋订单评5星好评,√,吴姜涛,好的，已帮您给快手极速版里的运动鞋订单提交了5星好评，评价已成功更新啦，还有其他需要帮忙的吗？,,,,,,,
购物-评价,快手极速版,在快手极速版中评价商城<搜索内容>订单且星级为<星级>,帮我评价一下快手极速版商城里的手机壳订单，打个3星吧。,,帮我评价一下快手极速版商城里的手机壳订单，打个3星吧。,在快手极速版中评价商城手机壳订单且星级为3星,√,吴姜涛,好的，已为您在快手极速版商城的手机壳订单上提交了3星评价，如果还有其他需要调整的地方，随时告诉我哦~,,,,,,,
购物-评价,快手极速版,在快手极速版中评价商城<搜索内容>订单且评价内容为<文本内容>,快手极速里怎么给之前买的运动鞋订单写评价？评价内容要写“鞋子穿着很舒服，性价比高”。,,快手极速里怎么给之前买的运动鞋订单写评价？评价内容要写“鞋子穿着很舒服，性价比高”。,在快手极速中给运动鞋订单写评价，评价内容为鞋子穿着很舒服，性价比高,√,吴姜涛,好的，已经帮您在快手极速版里找到之前的运动鞋订单，并添加了“鞋子穿着很舒服，性价比高”的评价，有其他需要也可以随时找我哦～,,,,,,,
购物-评价,快手极速版,在快手极速版中评价商城<搜索内容>订单且评价内容为<文本内容>,在极速版快手买完手机壳后，怎么在订单里找到它并评价“这个手机壳质量太差了，容易变形”？,,在极速版快手买完手机壳后，怎么在订单里找到它并评价“这个手机壳质量太差了，容易变形”？,在极速版快手中给商城手机壳订单评价，内容为这个手机壳质量太差了，容易变形,√,吴姜涛,好的，已帮您在快手极速版找到手机壳订单，并为您添加了“这个手机壳质量太差了，容易变形”的评价。如果还有其他需要反馈的问题，随时告诉我哦，很乐意为您服务~,,,,,,,
购物-评价,快手极速版,在快手极速版中评价商城<搜索内容>订单并上传图片,我在快手极速版里怎么评价商城订单啊，还要上传图片。,,我在快手极速版里怎么评价商城运动鞋订单啊，还要上传图片。,在快手极速版中评价商城运动鞋订单并上传图片,√,吴姜涛,好的，已帮您找到快手极速版商城运动鞋订单的评价入口，并上传了图片，评价已经提交成功啦。还有其他需要帮忙的吗？,,,,,,,
购物-评价,快手极速版,在快手极速版中评价商城<搜索内容>订单并上传图片,帮我评价下快手极速版商城里的手机壳订单，并上传图片。,,帮我评价下快手极速版商城里的手机壳订单，并上传图片。,在快手极速版中评价商城手机壳订单并上传图片,√,吴姜涛,好的，已经帮您完成了快手极速版商城里手机壳订单的评价，并成功上传了图片。如果还有其他需要，随时告诉我哦，很乐意为您服务！,,,,,,,
