类型,轮次,query,plan,reply,assistant,app,大类,origin_instruct,责任人,tag,,,,,,,,,,,,,
单轮-单任务,1,嘿，yoyo！能不能在京东帮我搞到惠普打印机的参数呀？,在$京东$中打开惠普打印机的参数,完成,好的,京东,打开,在京东中打开<搜索内容>的参数,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo！能在京东帮我搞出小米电视的详情页不？我想看看它的配置,在$京东$中打开小米电视的详情,完成,好的,京东,打开,在京东中打开<搜索内容>的详情,,,,,,,,,,,,,,,
单轮-单任务,1,在京东买的那个华硕路由器，能查到啥时候送到广州不？,在$京东$中查看华硕路由器送达广州的时间,完成,好的,京东,搜索,在京东中查看<搜索内容>送达<地址>的时间,,,,,,,,,,,,,,,
单轮-单任务,1,能不能帮我把三星手机在京东加入购物车呀？,在$京东$中把三星手机加入购物车,完成,好的,京东,购物车,在京东中加入购物车<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,能不能在京东帮我把512G的iPad放进购物车呀？,在$京东$中把512G的iPad加入购物车,完成,好的,京东,购物车,在京东中加入购物车<规格>的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,可不可以帮我在京东把4个保温杯放到购物车呀？,在$京东$中把4个的保温杯加入购物车,完成,好的,京东,购物车,在京东中加入购物车<数量>的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,你可以帮我在京东把索尼耳机放到购物车吗？然后要送到深圳哦,在$京东$中把索尼耳机加入购物车并送至深圳,完成,好的,京东,购物车,在京东中加入购物车<搜索内容>送至<地址>,,,,,,,,,,,,,,,
单轮-单任务,1,我家里装修完缺电视，想在京东买2台55寸的TCL电视，你帮我搁购物车里呗,在$京东$中把2台55寸的TCL电视加入购物车并送至北京,完成,好的,京东,购物车,在京东中加入购物车<规格><数量>的<搜索内容>送至<地址>,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo呀，我听老姐妹说苹果手表好用，你帮我在京东下一个呗？,在$京东$中下单苹果手表,完成,好的,京东,下单,在京东中下单<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo啊，你帮我在京东把那个1TB的移动硬盘下单了哈,在$京东$中下单1TB的移动硬盘,完成,好的,京东,下单,在京东中下单<规格>的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo，能在京东给我们宿舍下8箱矿泉水不？,在$京东$中下单8箱矿泉水,完成,好的,京东,下单,在京东中下单<数量>的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo，能不能在京东帮我下单华为平板呀？要送到上海哦,在$京东$中下单华为平板送至上海,完成,好的,京东,下单,在京东中下单<搜索内容>送至<地址>,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo，京东上买大疆无人机能用京东白条付款不？,在$京东$中用京东白条下单大疆无人机,完成,好的,京东,下单,在京东中用<支付方式>下单<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo，我想在京东买3台21寸显示器，能不能用银行卡支付呀？然后送到成都哦。,在$京东$中下单3台21寸的显示器用银行卡支付送至成都,完成,好的,京东,下单,在京东中下单<数量><规格>的<搜索内容>用<支付方式>送至<地址>,,,,,,,,,,,,,,,
单轮-单任务,1,我想在京东上看看那个小米手环，你先帮我把它收藏起来行不行啊？,在$京东$中收藏小米手环,完成,好的,京东,收藏,在京东中收藏<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,请在京东平台打开政府补贴相关页面，帮我搜索一下空调,在$京东$中打开政府补贴并搜索空调,完成,好的,京东,搜索,在京东中打开政府补贴并搜索<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,我听别人说京东上经常有新手机，你帮我搜搜看最近有没有新品呀？,在$京东$中搜索新品手机,完成,好的,京东,搜索,在京东中搜索新品<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,帮我找找京东上能秒送的水果呗，我着急吃呢,在$京东$中搜索秒送水果,完成,好的,京东,搜索,在京东中搜索秒送<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,给我在京东把苹果官方店弄出来,在$京东$中打开苹果官方店铺,完成,好的,京东,打开,在京东中打开<店铺名>店铺,,,,,,,,,,,,,,,
单轮-单任务,1,你能在京东的三星官方店里帮我搜搜GalaxyS24不？,在$京东$中三星官方店搜索GalaxyS24,完成,好的,京东,搜索,在京东中<店铺名>店铺内搜索<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,那个京东上的华为店铺，你帮我把里面的手机类别弄出来看看呢,在$京东$中打开华为店铺的手机类别,完成,好的,京东,打开,在京东中打开<店铺名>店铺的<类别>类别,,,,,,,,,,,,,,,
单轮-单任务,1,帮我在京东关注小米店铺好不好呀？,在$京东$中关注小米店铺,完成,好的,京东,收藏,在京东中关注<店铺名>店铺,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo，在京东上搜搜口碑好的洗发水，我急着换一款。,在$京东$中搜索口碑洗发水,完成,好的,京东,搜索,在京东中搜索口碑<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,我需要在京东上清除商品收藏中的耳机哈？,在$京东$中删除商品收藏中的耳机,完成,好的,京东,收藏,在京东中删除商品收藏中的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,在京东帮忙搜索双开门的冰箱哈,在$京东$中搜索商品冰箱筛选双开门的,完成,好的,京东,搜索,在京东中搜索商品<搜索内容>筛选<筛选条件>,,,,,,,,,,,,,,,
单轮-单任务,1,帮我在京东找下九阳豆浆机订单的物流单号,在$京东$中查看九阳豆浆机订单的物流单号,完成,好的,京东,物流,在京东中查看<搜索内容>订单的物流单号,,,,,,,,,,,,,,,
单轮-单任务,1,麻烦拨打下京东中兰蔻粉水400ml订单的快递电话,在$京东$中拨打兰蔻粉水400ml订单的快递电话,完成,好的,京东,物流,在京东中拨打<搜索内容>订单的快递电话,,,,,,,,,,,,,,,
单轮-单任务,1,京东的iPhone 15 Pro订单帮我催一下发货吧,在$京东$中给iPhone 15 Pro订单催发货,完成,好的,京东,物流,在京东中给<搜索内容>订单催发货,,,,,,,,,,,,,,,
单轮-单任务,1,可以帮我催下京东中小米空调订单的配送吗,在$京东$中给小米空调订单催配送,完成,好的,京东,物流,在京东中给<搜索内容>订单催配送,,,,,,,,,,,,,,,
单轮-单任务,1,大骨面好吃哎，京东里的白象大骨面订单，帮我确认收货,在$京东$中给白象大骨面订单确认收货,完成,好的,京东,物流,在京东中给<搜索内容>订单确认收货,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo，京东中的信阳毛尖订单，申请一下售后,在$京东$中给信阳毛尖订单申请售后,完成,好的,京东,订单,在京东中给<搜索内容>订单申请售后,,,,,,,,,,,,,,,
单轮-单任务,1,坚果大礼包漏发了，麻烦在京东中给三只松鼠坚果大礼包订单申请退款,在$京东$中给三只松鼠坚果大礼包订单申请退款且原因为商品存在漏发情况,完成,好的,京东,订单,在京东中给<搜索内容>订单申请<售后类型>且原因为<原因>,,,,,,,,,,,,,,,
单轮-单任务,1,牛肉干挺好吃的，帮我评价一下京东中的牛肉干订单吧,在$京东$中评价牛肉干订单,完成,好的,京东,订单,在京东中评价<搜索内容>订单,,,,,,,,,,,,,,,
单轮-单任务,1,洞洞鞋还不错，在京东中评价下安踏洞洞鞋订单可以给五星,在$京东$中评价安踏洞洞鞋订单且星级为5颗星,完成,好的,京东,评价,在京东中评价<搜索内容>订单且星级为<星级>,,,,,,,,,,,,,,,
单轮-单任务,1,帮我在京东中评价Keep智能动感单车订单且评价内容为单车质量不错，安装方便，骑行顺畅，静音效果好，在家锻炼很合适,在$京东$中评价Keep智能动感单车订单且评价内容为单车质量不错，安装方便，骑行顺畅，静音效果好，在家锻炼很合适,完成,好的,京东,评价,在京东中评价<搜索内容>订单且评价内容为<文本内容>,,,,,,,,,,,,,,,
单轮-单任务,1,评价下京东中的牧高笛帐篷订单，再上传下图片,在$京东$中评价牧高笛帐篷订单并上传图片,完成,好的,京东,评价,在京东中评价<搜索内容>订单并上传图片,,,,,,,,,,,,,,,
单轮-单任务,1,YOYO，帮我在京东中评价下小米空气净化器4Pro订单，给个4星吧，评价内容为净化效果明显，噪音不大，APP控制方便，并帮我上传下图片,在$京东$中评价小米空气净化器4Pro订单，星级为4星，评价内容为净化效果明显，噪音不大，APP控制方便，并上传图片,完成,好的,京东,评价,在京东中评价<搜索内容>订单，星级为<星级>，评价内容为<文本内容>，并上传图片,,,,,,,,,,,,,,,
单轮-单任务,1,想要家纺四件套，在天猫中搜下,在$天猫$中搜索家纺四件套,完成,好的,天猫,搜索,在天猫中搜索<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,在天猫中看下雅诗兰黛小棕瓶精华的评论区,在$天猫$中打开雅诗兰黛小棕瓶精华的评论,完成,好的,天猫,打开,在天猫中打开<搜索内容>的评论,,,,,,,,,,,,,,,
单轮-单任务,1,hello，麻烦在天猫中打开耐克空军一号运动鞋的规格详情页,在$天猫$中打开耐克空军一号运动鞋的规格,完成,好的,天猫,打开,在天猫中打开<搜索内容>的规格,,,,,,,,,,,,,,,
单轮-单任务,1,看下天猫中华为Mate 60 Pro的参数信息页,在$天猫$中打开华为Mate 60 Pro的参数,完成,好的,天猫,打开,在天猫中打开<搜索内容>的参数,,,,,,,,,,,,,,,
单轮-单任务,1,最近想换个苏泊尔球釜电饭煲，在天猫中打开下产品详情页,在$天猫$中打开苏泊尔球釜电饭煲的详情,完成,好的,天猫,打开,在天猫中打开<搜索内容>的详情,,,,,,,,,,,,,,,
单轮-单任务,1,YOYO，在阿里巴巴购物车中添加10个装的马克杯​,在$阿里巴巴$中把10个装的马克杯​加入购物车,完成,好的,阿里巴巴,购物车,在阿里巴巴中加入购物车<数量>的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,麻烦帮我把阿里巴巴XL码工作服加入下购物车​,在$阿里巴巴$中把XL码的工作服​加入购物车,完成,好的,阿里巴巴,购物车,在阿里巴巴中加入购物车<规格>的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,可以帮我把阿里巴巴500ml规格3瓶消毒液加到购物车并送达武汉市江汉区解放大道690号吗​,在$阿里巴巴$中把加入购物车的3瓶500ml规格消毒液送至武汉市江汉区解放大道690号​,完成,好的,阿里巴巴,购物车,在阿里巴巴中加入购物车<规格><数量>的<搜索内容>送至<地址>,,,,,,,,,,,,,,,
单轮-单任务,1,麻烦把阿里巴巴全自动洗衣机加入到我的购物车并送到北京市朝阳区建国路88号​,在$阿里巴巴$中把加入购物车的全自动洗衣机送至北京市朝阳区建国路88号​,完成,好的,阿里巴巴,购物车,在阿里巴巴中加入购物车<搜索内容>送至<地址>,,,,,,,,,,,,,,,
单轮-单任务,1,听说最近荣耀MagicBook Art 14 2025笔记本很火，帮我在阿里巴巴中加入下购物车​,在$阿里巴巴$中把荣耀MagicBook Art 14 2025笔记本加入购物车,完成,好的,阿里巴巴,购物车,在阿里巴巴中加入购物车<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,洁面乳用完了，天猫上给我整个旁氏米粹洁面乳呗​,在$天猫$中下单旁氏米粹洁面乳​,完成,好的,天猫,下单,在天猫中下单<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,300ml的欧莱雅复颜水，帮我在天猫下单,在$天猫$中下单300ml的欧莱雅复颜水​,完成,好的,天猫,下单,在天猫中下单<规格>的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,嘿，悠悠，6包的抽纸，帮我在天猫下个单呗​,在$天猫$中下单6包抽纸​,完成,好的,天猫,下单,在天猫中下单<数量>的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,帮我在天猫买个美的电水壶，寄到杭州市西湖区文三路45号哈​,在$天猫$中下单美的电水壶送至杭州市西湖区文三路45号​,完成,好的,天猫,下单,在天猫中下单<搜索内容>送至<地址>,,,,,,,,,,,,,,,
单轮-单任务,1,用支付宝在天猫买条李宁运动裤，能弄不​,在$天猫$中用支付宝下单李宁运动裤​,完成,好的,天猫,下单,在天猫中用<支付方式>下单<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,2瓶750ml的洗发水，用花呗在天猫下单，寄到成都市武侯区武侯祠大街231号哈​,在$天猫$中下单2瓶750ml的洗发水用花呗支付并送至成都市武侯区武侯祠大街231号​,完成,好的,天猫,下单,在天猫中下单<数量><规格>的<搜索内容>用<支付方式>送至<地址>,,,,,,,,,,,,,,,
单轮-单任务,1,天猫上的SK-II神仙水，帮我收藏下,在$天猫$中收藏SK-II神仙水​,完成,好的,天猫,收藏,在天猫中收藏<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,打开天猫的政府补贴，搜搜珀莱雅眼霜呗​,在$天猫$中打开政府补贴并搜索珀莱雅眼霜​,完成,好的,天猫,搜索,在天猫中打开政府补贴并搜索<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,天猫里的无印良品官方店，帮我点开​,在$天猫$中打开无印良品官方店店铺​,完成,好的,天猫,打开,在天猫中打开<店铺名>店铺,,,,,,,,,,,,,,,
单轮-单任务,1,在天猫的屈臣氏旗舰店，搜搜曼秀雷敦唇膏行不​,在$天猫$中屈臣氏旗舰店店铺内搜索曼秀雷敦唇膏​,完成,好的,天猫,打开,在天猫中<店铺名>店铺内搜索<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,帮我打开下天猫的丝芙兰旗舰店彩妆类别页面,在$天猫$中打开丝芙兰旗舰店店铺的彩妆类别​,完成,好的,天猫,打开,在天猫中打开<店铺名>店铺的<类别>类别,,,,,,,,,,,,,,,
单轮-单任务,1,花西子最近很火啊，帮我关注下​天猫上的花西子官方店,在$天猫$中关注花西子官方店店铺​,完成,好的,天猫,收藏,在天猫中关注<店铺名>店铺,,,,,,,,,,,,,,,
单轮-单任务,1,天猫收藏夹里的稚优泉唇釉，帮我删了呗​,在$天猫$中删除收藏夹中的稚优泉唇釉​,完成,好的,天猫,收藏,在天猫中删除收藏夹中的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,在天猫搜搜苹果手表，挑个45毫米的行不​,在$天猫$中搜索苹果手表筛选45毫米​,完成,好的,天猫,搜索,在天猫中搜索<搜索内容>筛选<筛选条件>,,,,,,,,,,,,,,,
单轮-单任务,1,我在天猫买的戴森吹风机，帮我看看物流单号哈​,在$天猫$中查看戴森吹风机订单的物流单号​,完成,好的,天猫,物流,在天猫中查看<搜索内容>订单的物流单号,,,,,,,,,,,,,,,
单轮-单任务,1,YOYO，天猫上买的百草味饼干，快递电话帮我找下呗,在$天猫$中拨打百草味饼干订单的快递电话,完成,好的,天猫,物流,在天猫中拨打<搜索内容>订单的快递电话,,,,,,,,,,,,,,,
单轮-单任务,1,帮我催下发货呗​，天猫上兰蔻粉底液订单,在$天猫$中给兰蔻粉底液订单催发货​,完成,好的,天猫,物流,在天猫中给<搜索内容>订单催发货,,,,,,,,,,,,,,,
单轮-单任务,1,天猫里买的小米扫地机器人订单，催下配送行不​,在$天猫$中给小米扫地机器人订单催配送​,完成,好的,天猫,物流,在天猫中给<搜索内容>订单催配送,,,,,,,,,,,,,,,
单轮-单任务,1,确认下收货哈​，天猫中我买的Nike运动鞋订单,在$天猫$中给Nike运动鞋订单确认收货​,完成,好的,天猫,物流,在天猫中给<搜索内容>订单确认收货,,,,,,,,,,,,,,,
单轮-单任务,1,天猫上买的华为平板订单，帮我申请售后呗​,在$天猫$中给华为平板订单申请售后​,完成,好的,天猫,订单,在天猫中给<搜索内容>订单申请售后,,,,,,,,,,,,,,,
单轮-单任务,1,这面膜用着过敏啊，赶紧帮我申请退货，天猫里的资生堂面霜订单,在$天猫$中给资生堂面霜订单申请退货且原因为过敏​,完成,好的,天猫,订单,在天猫中给<搜索内容>订单申请<售后类型>且原因为<原因>,,,,,,,,,,,,,,,
单轮-单任务,1,帮我评价一下天猫上买的百雀羚水乳订单,在$天猫$中评价百雀羚水乳订单​,完成,好的,天猫,订单,在天猫中评价<搜索内容>订单,,,,,,,,,,,,,,,
单轮-单任务,1,悠悠，天猫中买的完美日记眼影订单，评价给个五星,在$天猫$中评价完美日记眼影订单且星级为五星​,完成,好的,天猫,评价,在天猫中评价<搜索内容>订单且星级为<星级>,,,,,,,,,,,,,,,
单轮-单任务,1,稚优泉唇釉颜色很正啊，也很显白，帮我评价下吧，天猫里买的稚优泉唇釉订单​,在$天猫$中评价稚优泉唇釉订单且评价内容为颜色很正，很显白,完成,好的,天猫,评价,在天猫中评价<搜索内容>订单且评价内容为<文本内容>,,,,,,,,,,,,,,,
单轮-单任务,1,天猫上买的韩束面膜订单，评价时帮我上传图片呗​,在$天猫$中评价韩束面膜订单并上传图片​,完成,好的,天猫,评价,在天猫中评价<搜索内容>订单并上传图片,,,,,,,,,,,,,,,
单轮-单任务,1,天猫中买的自然堂洗面奶订单，评价给四星，内容写清洁力不错，再上传下图片,在$天猫$中评价自然堂洗面奶订单，星级为四星，评价内容为清洁力不错，并上传图片​,完成,好的,天猫,评价,在天猫中评价<搜索内容>订单，星级为<星级>，评价内容为<文本内容>，并上传图片,,,,,,,,,,,,,,,
单轮-单任务,1,上次闲鱼上我买的二手Kindle订单，帮我看看物流单号哈​,在$闲鱼$中查看二手Kindle订单的物流单号​,完成,好的,闲鱼,物流,在闲鱼中查看<搜索内容>订单的物流单号,,,,,,,,,,,,,,,
单轮-单任务,1,对了，我在闲鱼里买的复古相机，订单的快递电话号码能找到吗,在$闲鱼$中查看复古相机订单的快递电话​,完成,好的,闲鱼,物流,在闲鱼中查看<搜索内容>订单的快递电话,,,,,,,,,,,,,,,
单轮-单任务,1,麻烦你在闲鱼上看看，我买的手工钱包订单，能不能催下发货呀,在$闲鱼$中给手工钱包订单催发货​,完成,好的,闲鱼,物流,在闲鱼中给<搜索内容>订单催发货,,,,,,,,,,,,,,,
单轮-单任务,1,闲鱼里我买的明星海报订单，帮忙催下配货行不行哦,在$闲鱼$中给明星海报订单催配货​,完成,好的,闲鱼,物流,在闲鱼中给<搜索内容>订单催配货,,,,,,,,,,,,,,,
单轮-单任务,1,我在闲鱼中买的旧书订单，估计到了，帮我确认收货哈,在$闲鱼$中给旧书订单确认收货,完成,好的,闲鱼,物流,在闲鱼中给<搜索内容>订单确认收货,,,,,,,,,,,,,,,
单轮-单任务,1,你能不能帮我在闲鱼上，为我买的二手吉他订单申请售后呀,在$闲鱼$中给二手吉他订单申请售后​,完成,好的,闲鱼,订单,在闲鱼中给<搜索内容>订单申请售后,,,,,,,,,,,,,,,
单轮-单任务,1,在闲鱼里买的复古连衣裙，订单想申请换货，原因是尺寸不符，能弄吗,在$闲鱼$中给复古连衣裙订单申请换货且原因为尺寸不符​,完成,好的,闲鱼,订单,在闲鱼中给<搜索内容>订单申请<售后类型>且原因为<原因>,,,,,,,,,,,,,,,
单轮-单任务,1,帮我给在闲鱼上买的旧款相机订单评价一下,在$闲鱼$中评价旧款相机订单​,完成,好的,闲鱼,订单,在闲鱼中评价<搜索内容>订单,,,,,,,,,,,,,,,
单轮-单任务,1,我在闲鱼中买的二手textbooks订单，评价的时候给个四星，可以吗,在$闲鱼$中评价二手textbooks订单且星级为四星​,完成,好的,闲鱼,评价,在闲鱼中评价<搜索内容>订单且星级为<星级>,,,,,,,,,,,,,,,
单轮-单任务,1,在闲鱼里买的手工钥匙扣，订单评价内容就写做工精致，很喜欢哦,在$闲鱼$中评价手工钥匙扣订单且评价内容为做工精致，很喜欢,完成,好的,闲鱼,评价,在闲鱼中评价<搜索内容>订单且评价内容为<文本内容>,,,,,,,,,,,,,,,
单轮-单任务,1,评价我在闲鱼上买的闲置背包订单时，帮我上传图片哈,在$闲鱼$中评价闲置背包订单并上传图片​,完成,好的,闲鱼,评价,在闲鱼中评价<搜索内容>订单并上传图片,,,,,,,,,,,,,,,
单轮-单任务,1,对于在闲鱼中买的二手运动鞋订单，评价给五星，内容写九成新，穿着舒服，再上传下图片,在$闲鱼$中评价二手运动鞋订单，星级为五星，评价内容为九成新，穿着舒服，并上传图片​,完成,好的,闲鱼,评价,在闲鱼中评价<搜索内容>订单，星级为<星级>，评价内容为<文本内容>，并上传图片,,,,,,,,,,,,,,,
单轮-单任务,1,能麻烦你在闲鱼上帮我搜搜二手任天堂Switch呗,在$闲鱼$中搜索二手任天堂Switch​,完成,好的,闲鱼,打开,在闲鱼中搜索<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,闲鱼里那个闲置的Kindle Paperwhite，帮我下下单,在$闲鱼$中下单闲置的Kindle Paperwhite​,完成,好的,闲鱼,下单,在闲鱼中下单<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,悠悠，我想在闲鱼上买个二手跑步机，送到北京市朝阳区建国路88号,在$闲鱼$中下单二手跑步机送至北京市朝阳区建国路88号​,完成,好的,闲鱼,下单,在闲鱼中下单<搜索内容>送至<地址>,,,,,,,,,,,,,,,
单轮-单任务,1,麻烦帮我用支付宝下下单，闲鱼里有个闲置的无人机,在$闲鱼$中用支付宝下单闲置的无人机​,完成,好的,闲鱼,下单,在闲鱼中用<支付方式>下单<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,我打算在闲鱼上买2个16G的二手U盘，用微信支付下单，送到上海市静安区南京西路1266号哦,在$闲鱼$中下单2个16G的二手U盘用微信支付送至上海市静安区南京西路1266号​,完成,好的,闲鱼,下单,在闲鱼中下单<数量><规格>的<搜索内容>用<支付方式>送至<地址>,,,,,,,,,,,,,,,
单轮-单任务,1,刚在闲鱼上看到个复古海报，还挺好看，帮我收藏一下哈,在$闲鱼$中收藏复古海报,完成,好的,闲鱼,收藏,在闲鱼中收藏<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,yoyo，你在闲鱼上搜搜二手笔记本电脑，然后筛选出降价的,在$闲鱼$中搜索二手笔记本电脑并筛选降价​,完成,好的,闲鱼,搜索,在闲鱼中搜索<搜索内容>并筛选降价,,,,,,,,,,,,,,,
单轮-单任务,1,在闲鱼里，帮我搜下闲置化妆品，把那些新发的筛选出来哦,在$闲鱼$中搜索闲置化妆品并筛选新发​,完成,好的,闲鱼,搜索,在闲鱼中搜索<搜索内容>并筛选新发,,,,,,,,,,,,,,,
单轮-单任务,1,我最近想在闲鱼里买台二手自行车，帮我搜索下并把筛选出广州市,在$闲鱼$中搜索二手自行车并筛选广州市​,完成,好的,闲鱼,搜索,在闲鱼中搜索<搜索内容>并筛选<区域>,,,,,,,,,,,,,,,
单轮-单任务,1,在闲鱼上搜一下复古手表并筛选出九成新及以上的,在$闲鱼$中搜索复古手表并筛选九成新及以上,完成,好的,闲鱼,搜索,在闲鱼中搜索<搜索内容>并筛选<筛选条件>,,,,,,,,,,,,,,,
单轮-单任务,1,家里灯泡坏了，帮我在抖音火山版的商城里打开下欧普LED灯泡,在$抖音火山版$中打开商城中的欧普LED灯泡​,完成,好的,抖音火山版,打开,在抖音火山版的商城中打开<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,听说最近完美日记眼影盘很火，帮我在抖音火山版商城中打开下评论详情页,在$抖音火山版$中打开商城中的完美日记眼影盘的评论​,完成,好的,抖音火山版,打开,在抖音火山版的商城中打开<搜索内容>的评论,,,,,,,,,,,,,,,
单轮-单任务,1,对了，抖音火山版商城里的华为耳机，规格帮我瞅瞅哈,在$抖音火山版$中打开商城中华为耳机的规格​,完成,好的,抖音火山版,打开,在抖音火山版的商城中打开<搜索内容>的规格,,,,,,,,,,,,,,,
单轮-单任务,1,看下抖音火山版的商城中有小米充电宝吗，顺便帮我看下参数,在$抖音火山版$中打开商城中小米充电宝的参数​,完成,好的,抖音火山版,打开,在抖音火山版的商城中打开<搜索内容>的参数,,,,,,,,,,,,,,,
单轮-单任务,1,打开下抖音火山版商城里的九阳榨汁机的详情页,在$抖音火山版$中打开商城中九阳榨汁机的详情​,完成,好的,抖音火山版,打开,在抖音火山版的商城中打开<搜索内容>的详情,,,,,,,,,,,,,,,
单轮-单任务,1,抖音火山版商城中的三只松鼠坚果礼盒，查看送到武汉市武昌区中北路108号的时间行不​,在$抖音火山版$中的商城查看三只松鼠坚果礼盒送达武汉市武昌区中北路108号的时间​,完成,好的,抖音火山版,搜索,在抖音火山版的商城中查看<搜索内容>送达<地址>的时间,,,,,,,,,,,,,,,
单轮-单任务,1,帮我在抖音火山版商城里加入6包抽纸到购物车,在$抖音火山版$中的商城把6包抽纸加入​购物车,完成,好的,抖音火山版,购物车,在抖音火山版的商城中加入购物车<数量>的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,看看L码的森马卫衣抖音火山版商城中有吗，加到购物车里,在$抖音火山版$中的商城把L码的森马卫衣​加入购物车,完成,好的,抖音火山版,购物车,在抖音火山版的商城中加入购物车<规格>的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,hi，麻烦把抖音火山版商城里的2瓶装的30ml兰蔻粉水，加入购物车并送到成都市锦江区红星路一段15号,在$抖音火山版$中的商城把加入购物车的2瓶30ml规格兰蔻粉水送至成都市锦江区红星路一段15号​,完成,好的,抖音火山版,购物车,在抖音火山版的商城中加入购物车<规格><数量>的<搜索内容>送至<地址>,,,,,,,,,,,,,,,
单轮-单任务,1,悠悠，帮我把抖音火山版商城中的美的电饭煲，加入购物车并送到广州市天河区天河路385号,在$抖音火山版$中的商城把加入购物车的美的电饭煲送至广州市天河区天河路385号​,完成,好的,抖音火山版,购物车,在抖音火山版的商城中加入购物车<搜索内容>送至<地址>,,,,,,,,,,,,,,,
单轮-单任务,1,抖音火山版商城里的妮维雅沐浴露，加入下购物车,在$抖音火山版$中的商城把妮维雅沐浴露​加入购物车,完成,好的,抖音火山版,购物车,在抖音火山版的商城中加入购物车<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,帮我在抖音火山版商城中下一下单，珀莱雅双抗精华,在$抖音火山版$中的商城下单珀莱雅双抗精华​,完成,好的,抖音火山版,下单,在抖音火山版的商城中下单<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,抖音火山版商城里的100ml的理肤泉B5，下下单,在$抖音火山版$中的商城下单100ml的理肤泉B5​,完成,好的,抖音火山版,下单,在抖音火山版的商城中下单<规格>的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,想喝牛奶了，帮我在抖音火山版商城中下单4罐旺仔牛奶,在$抖音火山版$中的商城下单4罐的旺仔牛奶​,完成,好的,抖音火山版,下单,在抖音火山版的商城中下单<数量>的<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,抖音火山版商城里的苏泊尔电炖锅，下下单并送到上海市静安区南京西路1266号,在$抖音火山版$中的商城下单苏泊尔电炖锅送至上海市静安区南京西路1266号​,完成,好的,抖音火山版,下单,在抖音火山版的商城中下单<搜索内容>送至<地址>,,,,,,,,,,,,,,,
单轮-单任务,1,微信没钱了，帮我用支付宝在抖音火山版商城中下单耐克运动鞋,在$抖音火山版$中的商城用支付宝下单耐克运动鞋​,完成,好的,抖音火山版,下单,在抖音火山版的商城中用<支付方式>下单<搜索内容>,,,,,,,,,,,,,,,
单轮-单任务,1,抖音火山版商城里的2支3.5g的迪奥999口红，用花呗下单送到杭州市西湖区文二路328号呗​,在$抖音火山版$中的商城下单2支3.5g的迪奥999口红用花呗支付送至杭州市西湖区文二路328号​,完成,好的,抖音火山版,下单,在抖音火山版的商城中下单<数量><规格>的<搜索内容>用<支付方式>送至<地址>,,,,,,,,,,,,,,,
单轮-单任务,1,收藏下抖音火山版商城中的玉泽皮肤屏障修复乳,在$抖音火山版$中的商城收藏玉泽皮肤屏障修复乳​,完成,好的,抖音火山版,收藏,在抖音火山版的商城中收藏<搜索内容>,,,,,,,,,,,,,,,
