user_prompt_task,ground_truth,model_output,is_perfect_match,fn_accuracy,required_param_recall,param_f1,param_bleu_1,param_bleu_2,param_bleu_3,param_bleu_4,param_rouge_1,param_rouge_2,param_rouge_l,delay_seconds
在京东中显示购物车中的跨店满减商品,"[['1', 'open_cart_content(app=""京东"", filter_type=""跨店满减"")']]","[['1', 'open_cart_content(app=""京东"", filter_type=""跨店满减"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8601
在京东中显示收藏商品降价信息,"[['1', 'open_favorite_goods(app=""京东"", order_type=""无"", filter_type=""降价"")']]","[['3', 'open_favorite_goods(app=""京东"", filter_type=""降价"")']]",0.0000,1.0000,1.0000,0.8000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.6488
在京东中显示收藏中的已下架商品,"[['1', 'open_favorite_goods(app=""京东"", order_type=""无"", filter_type=""下架"")']]","[['3', 'open_favorite_goods(app=""京东"", filter_type=""下架"")']]",0.0000,1.0000,1.0000,0.8000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.7953
在京东中显示搜索历史记录,"[['1', 'open_search_history(app=""京东"")']]","[['1', 'open_search_history(app=""京东"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.4839
在快手极速版中的商城查看直播用的多功能料理锅,"[['1', 'search_goods(app=""快手极速版"", search_info=""多功能料理锅"", order_type=""无"")']]","[['1', 'search_goods(app=""快手极速版"", search_info=""多功能料理锅"", order_type=""销量"")']]",0.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.9722
在快手极速版中的商城搜索旅行收纳袋并按价格从低到高排序,"[['1', 'search_goods(app=""快手极速版"", search_info=""旅行收纳袋"", order_type=""价格从低到高"")']]","[['1', 'search_goods(app=""快手极速版"", search_info=""旅行收纳袋"", order_type=""价格从低到高"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.1352
在快手极速版中的商城搜索有机肥料按综合排,"[['1', 'search_goods(app=""快手极速版"", search_info=""有机肥料"", order_type=""综合 "")']]","[['1', 'search_goods(app=""快手极速版"", search_info=""有机肥料"", order_type=""综合 "")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9190
在快手极速版中搜索商城店铺‘厨房神器店’,"[['1', 'search_stores(app=""快手极速版"", search_info=""厨房神器店"", order_type=""无"", filter_type=""无"")']]","[['2', 'search_stores(app=""快手极速版"", search_info=""厨房神器店"")']]",0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8023
在快手极速版中打开收藏商品页面,"[['1', 'open_favorite_goods(app=""快手极速版"", order_type=""无"", filter_type=""无"")']]","[['1', 'open_favorite_goods(app=""快手极速版"", filter_type=""无"", order_type=""无"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9943
在快手极速版中的商城查看待发货订单,"[['1', 'open_orders_bought(app=""快手极速版"", order_status=""待发货"")']]","[['1', 'open_orders_bought(app=""快手极速版"", order_status=""待发货"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9474
在快手极速版中查看商城待收货订单,"[['1', 'open_orders_bought(app=""快手极速版"", order_status=""待收货"")']]","[['1', 'open_orders_bought(app=""快手极速版"", order_status=""待收货"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9728
在快手极速版中的商城查看待评价订单,"[['1', 'open_orders_bought(app=""快手极速版"", order_status=""待评价"")']]","[['1', 'open_orders_bought(app=""快手极速版"", order_status=""待评价"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9470
在快手极速版中显示商城搜索历史,"[['1', 'open_search_history(app=""快手极速版"")']]","[['1', 'open_search_history(app=""快手极速版"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5549
在快手中打开任务中心签到领取红包,"[['1', 'sign_in(app=""快手"", page_type=""红包"")']]","[['1', 'sign_in(app=""快手"", page_type=""任务中心"")]']",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7182
在快手商城中查找‘有机种子’的店铺,"[['1', 'search_stores(app=""快手"", search_info=""有机种子"", order_type=""无"", filter_type=""无"")']]","[['2', 'search_stores(app=""快手商城"", search_info=""有机种子"")']]",0.0000,1.0000,1.0000,0.6667,0.7500,0.6667,0.5000,0.5000,0.8333,0.7500,0.8333,0.8193
在快手商城中搜索行李箱收纳袋,"[['1', 'search_goods(app=""快手"", search_info=""行李箱收纳袋"", order_type=""无"")']]","[['1', 'search_goods(app=""快手商城"", search_info=""行李箱收纳袋"", order_type=""无"")]']",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0471
在快手商城中搜索历史,"[['1', 'open_search_history(app=""快手"")']]","[['1', 'open_search_history(app=""快手商城"")']]",0.0000,1.0000,1.0000,1.0000,0.5000,0.3333,0.0000,0.0000,0.6667,0.5000,0.6667,0.5241
在快手商城中查看待评价订单,"[['1', 'open_orders_bought(app=""快手"", order_status=""待评价"")']]","[['1', 'open_orders_bought(app=""快手商城"", order_status=""待评价"")']]",0.0000,1.0000,1.0000,1.0000,0.7500,0.6667,0.5000,0.0000,0.8333,0.7500,0.8333,0.8350
在快手商城中显示待收货订单,"[['1', 'open_orders_bought(app=""快手"", order_status=""待收货"")']]","[['1', 'open_orders_bought(app=""快手商城"", order_status=""待收货"")']]",0.0000,1.0000,1.0000,1.0000,0.7500,0.6667,0.5000,0.0000,0.8333,0.7500,0.8333,0.8835
在快手中的商城显示待支付订单,"[['1', 'open_orders_bought(app=""快手"", order_status=""待付款"")']]","[['1', 'open_orders_bought(app=""快手"", order_status=""待付款"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8755
在快手中查看商城待发货订单,"[['1', 'open_orders_bought(app=""快手"", order_status=""待发货"")']]","[['1', 'open_orders_bought(app=""快手"", order_status=""待发货"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8778
在拼多多中查看我的订单,"[['1', 'open_orders_bought(app=""拼多多"", order_status=""无"")']]","[['1', 'search_order(app=""拼多多"")']]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5422
在拼多多中查看待申请发票,"[['1', 'open_invoice_page(app=""拼多多"", page_type=""待申请发票"")']]","[['1', 'open_invoice_page(app=""拼多多"", page_type=""待申请发票"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8509
在拼多多中检查待分享项,"[['1', 'open_orders_bought(app=""拼多多"", order_status=""待分享"")']]","[['1', 'open_orders_bought(app=""拼多多"", order_status=""待分享"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8512
在拼多多中查看收藏的内容,"[['1', 'open_favorite_goods(app=""拼多多"", order_type=""无"", filter_type=""无"")']]","[['1', 'open_favorite_goods(app=""拼多多"")']]",0.0000,1.0000,1.0000,0.5000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.5501
在拼多多中搜索多功能切菜器,"[['1', 'search_goods(app=""拼多多"", search_info=""多功能切菜器"", order_type=""无"")']]","[['1', 'search_goods(app=""拼多多"", search_info=""多功能切菜器"", order_type=""综合 "")']]",0.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.6667,0.3333,0.6667,0.6667,0.6667,1.0548
在拼多多中搜索便携旅行包,"[['1', 'search_goods(app=""拼多多"", search_info=""便携旅行包"", order_type=""无"")']]","[['1', 'search_goods(app=""拼多多"", search_info=""便携旅行包"", order_type=""综合 "")']]",0.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.6667,0.3333,0.6667,0.6667,0.6667,1.0292
在拼多多中显示搜索历史记录,"[['1', 'open_search_history(app=""拼多多"")']]","[['1', 'open_search_history(app=""拼多多"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5598
在拼多多中显示已开票发票,"[['1', 'open_invoice_page(app=""拼多多"", page_type=""已开票发票"")']]","[['1', 'open_invoice_page(app=""拼多多"", page_type=""已开票发票"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8067
在拼多多中联系客服查询寄出去的物流信息,"[['1', 'open_logistics_send(app=""拼多多"", filter_type=""无"")']]","[['1', 'open_logistics_send(app=""拼多多"", filter_type=""已寄出"")']]",0.0000,1.0000,1.0000,1.0000,0.5000,0.5000,0.5000,0.0000,0.5000,0.5000,0.5000,0.8527
在拼多多中查看待发货订单,"[['1', 'open_orders_bought(app=""拼多多"", order_status=""待发货"")']]","[['1', 'open_orders_bought(app=""拼多多"", order_status=""待发货"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7575
在拼多多中查看售后状态,"[['1', 'open_orders_bought(app=""拼多多"", order_status=""退款售后"")']]","[['1', 'open_orders_bought(app=""拼多多"", order_status=""退款售后"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7316
在拼多多中显示待付款订单列表,"[['1', 'open_orders_bought(app=""拼多多"", order_status=""待付款"")']]","[['1', 'open_orders_bought(app=""拼多多"", order_status=""待付款"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8327
在淘宝中查看申请中的发票,"[['1', 'open_invoice_page(app=""淘宝"", page_type=""申请中发票"")']]","[['1', 'open_invoice_page(app=""淘宝"", page_type=""申请中发票"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8076
在淘宝中查看寄件物流状态,"[['1', 'open_logistics_send(app=""淘宝"", filter_type=""无"")']]","[['1', 'open_logistics_send(app=""淘宝"", filter_type=""派送中"")']]",0.0000,1.0000,1.0000,1.0000,0.5000,0.5000,0.0000,0.0000,0.5000,0.5000,0.5000,0.8528
在淘宝中查看已签收的寄件,"[['1', 'open_logistics_send(app=""淘宝"", filter_type=""已签收"")']]","[['1', 'open_logistics_receive(app=""淘宝"", filter_type=""已签收"")']]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8529
在淘宝中查看运输中的寄件状态,"[['1', 'open_logistics_send(app=""淘宝"", filter_type=""运输中"")']]","[['1', 'open_logistics_send(app=""淘宝"", filter_type=""运输中"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7985
在淘宝中查看待发货订单,"[['1', 'open_orders_bought(app=""淘宝"", order_status=""待发货"")']]","[['1', 'open_orders_bought(app=""淘宝"", order_status=""待发货"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8271
在淘宝中打开待收货列表,"[['1', 'open_orders_bought(app=""淘宝"", order_status=""待收货"")']]","[['1', 'open_orders_bought(app=""淘宝"", order_status=""待收货"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8933
在淘宝中管理购物车,"[['1', 'open_cart_content(app=""淘宝"", filter_type=""管理"")']]","[['1', 'open_cart_content(app=""淘宝"", filter_type=""管理"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7284
在淘宝中查看购物车中的常用商品,"[['1', 'open_cart_content(app=""淘宝"", filter_type=""常购"")']]","[['1', 'open_cart_content(app=""淘宝"", filter_type=""常购"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7535
在淘宝中打开拍照搜索多功能切菜器,"[['1', 'open_camera_search(app=""淘宝"")']]","[['3', 'open_camera_search(app=""淘宝"")'], ['1', 'search_goods(app=""淘宝"", search_info=""多功能切菜器"", order_type=""综合 "")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.5621
在淘宝中搜索登机箱店铺,"[['1', 'search_stores(app=""淘宝"", search_info=""登机箱"", order_type=""无"", filter_type=""无"")']]","[['2', 'search_stores(app=""淘宝"", search_info=""登机箱"")']]",0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.5000,0.0000,1.0000,1.0000,1.0000,0.8362
在淘宝中搜索店铺'旅行收纳用品'按信用排序,"[['1', 'search_stores(app=""淘宝"", search_info=""旅行收纳用品"", order_type=""信用"", filter_type=""无"")']]","[['2', 'search_stores(app=""淘宝"", search_info=""旅行收纳用品"", order_type=""信用"")']]",0.0000,1.0000,1.0000,0.8571,1.0000,1.0000,0.3333,0.3333,1.0000,1.0000,1.0000,0.9905
在淘宝中搜索历史记录,"[['1', 'open_search_history(app=""淘宝"")']]","[['1', 'open_search_history(app=""淘宝"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5945
在淘宝中搜索轻便旅行箱并按价格降序排列,"[['1', 'search_goods(app=""淘宝"", search_info=""轻便旅行箱"", order_type=""价格从高到低"")']]","[['1', 'search_goods(app=""淘宝"", search_info=""轻便旅行箱"", order_type=""价格从高到低"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.2742
在淘宝中搜索'多功能料理机',"[['1', 'search_goods(app=""淘宝"", search_info=""多功能料理机"", order_type=""无"")']]","[['1', 'search_goods(app=""淘宝"", search_info=""多功能料理机"", order_type=""综合 "")']]",0.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.3333,0.3333,0.6667,0.6667,0.6667,0.9230
在淘宝中显示我的收藏列表，按最近添加时间排序,"[['1', 'open_favorite_goods(app=""淘宝"", order_type=""最近收藏在前"", filter_type=""无"")']]","[['1', 'open_favorite_goods(app=""淘宝"", filter_type=""无"", order_type=""最近收藏在前"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0544
在淘宝中显示已签收的快递,"[['1', 'open_logistics_receive(app=""淘宝"", filter_type=""已签收"")']]","[['1', 'open_logistics_receive(app=""淘宝"", filter_type=""已签收"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7889
在淘宝中访问我的收藏夹筛选出一年前添加的商品,"[['1', 'open_favorite_goods(app=""淘宝"", order_type=""无"", filter_type=""一年前"")']]","[['1', 'open_favorite_goods(app=""淘宝"", filter_type=""一年前"")']]",0.0000,1.0000,1.0000,0.8000,1.0000,1.0000,0.5000,0.0000,1.0000,1.0000,1.0000,0.7108
在淘宝中查看查待寄出的寄件列表,"[['1', 'open_logistics_send(app=""淘宝"", filter_type=""待寄出"")']]","[['2', 'open_logistics_send(app=""淘宝"", filter_type=""待寄出"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8328
在淘宝中打开发票中心,"[['1', 'open_invoice_page(app=""淘宝"", page_type=""无"")']]","[['1', 'open_invoice_page(app=""淘宝"", page_type=""申请中发票"")']]",0.0000,1.0000,1.0000,1.0000,0.5000,0.5000,0.0000,0.0000,0.5000,0.5000,0.5000,0.7790
在淘宝中查看我的包裹,"[['1', 'open_logistics_receive(app=""淘宝"", filter_type=""无"")']]","[['1', 'open_logistics_receive(app=""淘宝"", filter_type=""无"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6758
在淘宝中查看我的订单,"[['1', 'open_orders_bought(app=""淘宝"", order_status=""无"")']]","[['1', 'search_order(app=""淘宝"", search_info=""我的订单"")']]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6935
在淘宝中检查购物车中的降价商品,"[['1', 'open_cart_content(app=""淘宝"", filter_type=""降价"")']]","[['1', 'open_cart_content(app=""淘宝"", filter_type=""降价"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6932
在淘宝中检查购物车中的失效商品,"[['1', 'open_cart_content(app=""淘宝"", filter_type=""失效"")']]","[['1', 'open_cart_content(app=""淘宝"", filter_type=""失效"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6668
在淘宝中检查收藏夹中的低库存物品,"[['1', 'open_favorite_goods(app=""淘宝"", order_type=""无"", filter_type=""低库存"")']]","[['3', 'open_favorite_goods(app=""淘宝"", filter_type=""低库存"")']]",0.0000,1.0000,1.0000,0.8000,1.0000,1.0000,0.5000,0.0000,1.0000,1.0000,1.0000,0.8001
在淘宝中显示待取件快递,"[['1', 'open_logistics_receive(app=""淘宝"", filter_type=""待取件"")']]","[['1', 'open_logistics_receive( app=""淘宝"", filter_type=""待取件"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9217
在淘宝中显示当前派送中的寄件状态,"[['1', 'open_logistics_send(app=""淘宝"", filter_type=""派送中"")']]","[['1', 'open_logistics_send(app=""淘宝"", filter_type=""派送中"")]']",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8868
在淘宝中显示关注店铺的上新商品,"[['1', 'open_favorite_stores(app=""淘宝"", filter_type=""上新"")']]","[['3', 'open_favorite_stores(app=""淘宝"", filter_type=""上新"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8996
在淘宝中显示收藏夹中的降价商品,"[['1', 'open_favorite_goods(app=""淘宝"", order_type=""无"", filter_type=""降价"")']]","[['3', 'open_favorite_goods(app=""淘宝"", filter_type=""降价"")']]",0.0000,1.0000,1.0000,0.8000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.8214
在淘宝中显示退款状态,"[['1', 'open_orders_bought(app=""淘宝"", order_status=""退款中"")']]","[['2', 'search_order(app=""淘宝"", search_info=""退款"", order_status=""退款售后"")']]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0238
在淘宝中显示我最近7天收藏的商品,"[['1', 'open_favorite_goods(app=""淘宝"", order_type=""无"", filter_type=""7天内"")']]","[['3', 'open_favorite_goods(app=""淘宝"", filter_type=""7天内"")']]",0.0000,1.0000,1.0000,0.8000,1.0000,1.0000,0.5000,0.0000,1.0000,1.0000,1.0000,0.8966
在天猫中查看退款和售后订单,"[['1', 'open_orders_bought(app=""天猫"", order_status=""退款售后"")']]","[['1', 'search_order(app=""天猫"", search_info=""退款售后"", order_status=""退款售后"")']]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0211
在天猫中打开购物车,"[['1', 'open_cart_content(app=""天猫"", filter_type=""无"")']]","[['1', 'open_cart_content(app=""天猫"")']]",0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.5490
在天猫中打开收藏夹,"[['1', 'open_favorite_goods(app=""天猫"")']]","[['1', 'open_favorite_goods(app=""天猫"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5222
在天猫中筛选收藏夹中的一年前收藏的商品,"[['1', 'open_favorite_goods(app=""天猫"", order_type=""无"", filter_type=""一年前"")']]","[['2', 'open_favorite_goods(app=""天猫"", filter_type=""一年前"", order_type=""无"")]']",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9902
在天猫中搜索精密天平按价格降序排列,"[['1', 'search_goods(app=""天猫"", search_info=""精密天平"", order_type=""价格从高到低"")']]","[['1', 'search_goods(app=""天猫"", search_info=""精密天平"", order_type=""价格从高到低"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.1879
在天猫中搜索旅行收纳包按销量排序,"[['1', 'search_goods(app=""天猫"", search_info=""旅行收纳包"", order_type=""销量"")']]","[['1', 'search_goods(app=""天猫"", search_info=""旅行收纳包"", order_type=""销量"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9897
在天猫中搜索有机种子按价格从低到高排序,"[['1', 'search_goods(app=""天猫"", search_info=""有机种子"", order_type=""价格从低到高"")']]","[['1', 'search_goods(app=""天猫"", search_info=""有机种子"", order_type=""价格从低到高"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.1140
在天猫中显示搜索历史,"[['1', 'open_search_history(app=""天猫"")']]","[['1', 'open_search_history(app=""天猫"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.4939
在天猫中查看待发货订单,"[['1', 'open_orders_bought(app=""天猫"", order_status=""待发货"")']]","[['1', 'open_orders_bought(app=""天猫"", order_status=""待发货"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7703
在天猫中检索待付款订单,"[['1', 'open_orders_bought(app=""天猫"", order_status=""待付款"")']]","[['1', 'open_orders_bought(app=""天猫"", order_status=""待付款"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7455
在天猫中列出所有订单,"[['1', 'open_orders_bought(app=""天猫"", order_status=""无"")']]","[['1', 'search_order(app=""天猫"", search_info=""所有订单"")']]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7215
在天猫中查看收藏夹按最早收藏排序,"[['1', 'open_favorite_goods(app=""天猫"", order_type=""最早收藏在前"", filter_type=""无"")']]","[['2', 'open_favorite_goods(app=""天猫"", order_type=""最早收藏在前"")']]",0.0000,1.0000,1.0000,0.8000,1.0000,1.0000,0.5000,0.5000,1.0000,1.0000,1.0000,0.8779
在天猫中显示收藏夹中30天内的商品,"[['1', 'open_favorite_goods(app=""天猫"", order_type=""无"", filter_type=""30天内"")']]","[['2', 'open_favorite_goods(app=""天猫"", filter_type=""30天内"")']]",0.0000,1.0000,1.0000,0.8000,1.0000,1.0000,0.5000,0.5000,1.0000,1.0000,1.0000,0.8780
在天猫中显示收藏夹中的半年前的商品,"[['1', 'open_favorite_goods(app=""天猫"", order_type=""无"", filter_type=""半年前"")']]","[['2', 'open_favorite_goods(app=""天猫"", filter_type=""半年前"")']]",0.0000,1.0000,1.0000,0.8000,1.0000,1.0000,0.5000,0.0000,1.0000,1.0000,1.0000,0.7751
在唯品会中显示收藏中可购买的商品,"[['1', 'open_favorite_goods(app=""唯品会"", order_type=""无"", filter_type=""有货"")']]","[['2', 'open_favorite_goods(app=""唯品会"", filter_type=""有货"")']]",0.0000,1.0000,1.0000,0.8000,1.0000,1.0000,0.5000,0.0000,1.0000,1.0000,1.0000,0.8822
在唯品会中打开退换售后页面,"[['1', 'open_orders_bought(app=""唯品会"", order_status=""退款售后"")']]","[['2', 'search_order(app=""唯品会"", search_info=""退换售后"", order_status=""退换售后"")']]",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1334
在唯品会中打开发票服务,"[['1', 'open_invoice_page(app=""唯品会"", page_type=""无"")']]","[['1', 'open_invoice_page(app=""唯品会"", page_type=""无"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7645
在唯品会中筛选购物车中的有货商品,"[['1', 'open_cart_content(app=""唯品会"", filter_type=""有货"")']]","[['1', 'open_cart_content(app=""唯品会"", filter_type=""有货"")]']",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8568
在唯品会中搜索售后处理订单,"[['1', 'search_order(app=""唯品会"", search_info=""无"", order_status=""退换售后"")']]","[['2', 'search_order(app=""唯品会"", search_info=""售后处理"", order_status=""退换售后"")']]",0.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.6667,0.3333,0.6667,0.6667,0.6667,1.1754
在唯品会中显示待付款订单,"[['1', 'open_orders_bought(app=""唯品会"", order_status=""待付款"")']]","[['1', 'open_orders_bought(app=""唯品会"", order_status=""待付款"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9048
在唯品会中显示待收货列表,"[['1', 'open_orders_bought(app=""唯品会"", order_status=""待收货"")']]","[['1', 'open_orders_bought(app=""唯品会"", order_status=""待收货"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0204
在唯品会中显示我的发票,"[['1', 'open_invoice_page(app=""唯品会"", page_type=""全部发票"")']]","[['1', 'open_invoice_page(app=""唯品会"", page_type=""全部发票"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9038
在唯品会中查看购物车,"[['1', 'open_cart_content(app=""唯品会"", filter_type=""无"")']]","[['1', 'open_cart_content(app=""唯品会"")']]",0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,0.6322
在唯品会中检索收藏中过去七天内添加的商品记录,"[['1', 'open_favorite_goods(app=""唯品会"", order_type=""无"", filter_type=""7天内"")']]","[['1', 'open_favorite_goods(app=""唯品会"", filter_type=""7天内"", order_type=""无"")]']",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2118
在唯品会中查找‘有机肥料’订单,"[['1', 'search_order(app=""唯品会"", search_info=""有机肥料"", order_status=""无"")']]","[['2', 'search_order(app=""唯品会"", search_info=""有机肥料"")']]",0.0000,1.0000,1.0000,0.8000,1.0000,1.0000,1.0000,0.5000,1.0000,1.0000,1.0000,0.8329
在闲鱼中显示我卖出商品的物流状态,"[['1', 'open_logistics_send(app=""闲鱼"", filter_type=""无"")']]","[['1', 'open_logistics_send(app=""闲鱼"")']]",0.0000,1.0000,1.0000,0.6667,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.6049
在闲鱼中查看我卖出商品的待付款状态,"[['1', 'open_orders_sold(app=""闲鱼"", order_status=""待付款"")']]","[['2', 'open_orders_sold(app=""闲鱼"", order_status=""待付款"")']]",1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8507
