tag,大类,app,query,plan（在xx中做什么）,指令,ground_truth_tool
单任务,购物-打开,抖音火山版,对了，抖音火山版商城里的华为耳机，规格帮我瞅瞅哈,在抖音火山版中查看商城中华为耳机的规格,在抖音火山版的商城中打开<搜索内容>的规格,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
单任务,购物-打开,抖音火山版,看下抖音火山版的商城中有小米充电宝吗，顺便帮我看下参数,在抖音火山版中查看商城中小米充电宝的参数,在抖音火山版的商城中打开<搜索内容>的参数,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
单任务,购物-打开,抖音火山版,打开下抖音火山版商城里的九阳榨汁机的详情页,在抖音火山版中打开商城中九阳榨汁机的详情页,在抖音火山版的商城中打开<搜索内容>的详情,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
单任务,购物-搜索,抖音火山版,抖音火山版商城中的三只松鼠坚果礼盒，查看送到武汉市武昌区中北路108号的时间行不,在抖音火山版中的商城查看三只松鼠坚果礼盒送达武汉市武昌区中北路108号的时间,在抖音火山版的商城中查看<搜索内容>送达<地址>的时间,"[{""name"": ""search_delivery_time(app, search_info_slot, address_slot)"", ""description"": ""搜索一件商品并根据给出的地址查询该商品送达该地址的预估运送时间""}]"
单任务,购物-购物车,抖音火山版,帮我在抖音火山版商城里加入6包抽纸到购物车,在抖音火山版中的商城把6包抽纸加入购物车,在抖音火山版的商城中将<数量>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
单任务,购物-购物车,抖音火山版,看看L码的森马卫衣抖音火山版商城中有吗，加到购物车里,在抖音火山版中的商城把L码的森马卫衣加入购物车,在抖音火山版的商城中将<规格>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
单任务,购物-购物车,抖音火山版,hi，麻烦把抖音火山版商城里的送到成都市锦江区红星路一段15号的2瓶装的30ml兰蔻粉水，加入购物车吧,在抖音火山版中的商城把送至成都市锦江区红星路一段15号的2瓶30ml规格兰蔻粉水加入购物车,在抖音火山版的商城中将送至<地址>的<数量><规格>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
单任务,购物-购物车,抖音火山版,悠悠，帮我把抖音火山版商城中送到广州市天河区天河路385号的美的电饭煲，加入购物车里面吧,在抖音火山版中的商城把送至广州市天河区天河路385号的美的电饭煲加入购物车,在抖音火山版的商城中将送至<地址>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
单任务,购物-购物车,抖音火山版,抖音火山版商城里的妮维雅沐浴露，加入下购物车,在抖音火山版中的商城把妮维雅沐浴露加入购物车,在抖音火山版的商城中将<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
单任务,购物-下单,抖音火山版,帮我在抖音火山版商城中下一下单，珀莱雅双抗精华,在抖音火山版中的商城下单珀莱雅双抗精华,在抖音火山版的商城中下单<搜索内容>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
单任务,购物-下单,抖音火山版,抖音火山版商城里的100ml的理肤泉B5，下下单,在抖音火山版中的商城下单100ml的理肤泉B5,在抖音火山版的商城中下单<规格>的<搜索内容>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
单任务,购物-下单,抖音火山版,想喝牛奶了，帮我在抖音火山版商城中下单4罐旺仔牛奶,在抖音火山版中的商城下单4罐的旺仔牛奶,在抖音火山版的商城中下单<数量>的<搜索内容>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
单任务,购物-下单,抖音火山版,抖音火山版商城里的苏泊尔电炖锅，下下单并送到上海市静安区南京西路1266号,在抖音火山版中的商城下单苏泊尔电炖锅送至上海市静安区南京西路1266号,在抖音火山版的商城中下单<搜索内容>送至<地址>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
单任务,购物-下单,抖音火山版,微信没钱了，帮我用支付宝在抖音火山版商城中下单耐克运动鞋,在抖音火山版中的商城用支付宝下单耐克运动鞋,在抖音火山版的商城中用<支付方式>下单<搜索内容>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
单任务,购物-下单,抖音火山版,抖音火山版商城里的2支3.5g的迪奥999口红，用花呗下单送到杭州市西湖区文二路328号呗,在抖音火山版中的商城下单2支3.5g的迪奥999口红用花呗支付送至杭州市西湖区文二路328号,在抖音火山版的商城中下单<数量><规格>的<搜索内容>用<支付方式>送至<地址>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
单任务,购物-收藏,抖音火山版,收藏下抖音火山版商城中的玉泽皮肤屏障修复乳,在抖音火山版中的商城收藏玉泽皮肤屏障修复乳,在抖音火山版的商城中收藏<搜索内容>,"[{""name"": ""add_into_favorite_goods(app, search_info_slot)"", ""description"": ""在app程序中搜索商品,并将其添加到商品收藏夹中""}]"
单任务,购物-搜索,抖音火山版,看下抖音火山版商城中的国家补贴，搜搜薇诺娜特护霜有补贴吗,在抖音火山版中打开商城的国家补贴并搜索薇诺娜特护霜,在抖音火山版中打开商城的国家补贴并搜索<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
单任务,购物-搜索,抖音火山版,搜搜抖音火山版中商城直播中的花西子眉笔呗,在抖音火山版中搜索商城直播中的花西子眉笔,在抖音火山版中搜索商城直播中的<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
单任务,购物-打开,抖音火山版,麻烦帮我打开下抖音火山版商城里的韩束官方旗舰店,在抖音火山版中的商城打开韩束官方旗舰店店铺,在抖音火山版中打开商城中的<店铺名>店铺,"[{""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"", ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""}]"
单任务,购物-搜索,抖音火山版,YOYO，帮我在抖音火山版商城中的百雀羚旗舰店搜索下甘油一号,在抖音火山版中的商城中百雀羚旗舰店店铺内搜索甘油一号,在抖音火山版中商城中的<店铺名>店铺内搜索<搜索内容>,"[{""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"", ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""}]"
单任务,购物-打开,抖音火山版,抖音火山版商城里的自然堂旗舰店，打开下彩妆类别,在抖音火山版中打开商城中的自然堂旗舰店店铺的彩妆类别,在抖音火山版中打开商城中的<店铺名>店铺的<类别>类别,"[{""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"", ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""}]"
单任务,购物-收藏,抖音火山版,帮我关注一下抖音火山版商城中的相宜本草官方旗舰店,在抖音火山版中关注商城中的相宜本草官方旗舰店店铺,在抖音火山版中关注商城中的<店铺名>店铺,"[{""name"": ""add_into_favorite_stores(app, search_info_slot)"", ""description"": ""在app程序中按照店铺名搜索店铺,并将其添加到店铺收藏夹中""}]"
单任务,购物-搜索,抖音火山版,抖音火山版中，搜搜商城特价里的馥蕾诗红茶睡眠面膜,在抖音火山版中搜索商城特价中的馥蕾诗红茶睡眠面膜,在抖音火山版中搜索商城特价中的<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
单任务,购物-搜索,抖音火山版,没纸用了，YOYO，在抖音火山版商城小时达里搜下清风卷纸,在抖音火山版中搜索商城小时达中的清风卷纸,在抖音火山版中搜索商城小时达中的<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
单任务,购物-搜索,抖音火山版,想换新手机了，找下抖音火山版商城中的苹果15内存256G的,在抖音火山版中的商城搜索苹果15筛选内存256G,在抖音火山版中搜索商城中的<搜索内容>筛选<筛选条件>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
单任务,购物-物流,抖音火山版,赶紧帮我查下抖音火山版商城里的飞利浦电动牙刷订单的物流单号,在抖音火山版中查看商城飞利浦电动牙刷订单的物流单号,在抖音火山版中查看商城<搜索内容>订单的物流单号,"[{""name"": ""open_order_tracking_number(app, search_info_slot)"", ""description"": ""在app中查询指定订单的物流单号""}]"
单任务,购物-物流,抖音火山版,悠悠，可以帮我拨打下抖音火山版商城中的百草味饼干订单的快递电话号吗,在抖音火山版中拨打商城中的百草味饼干订单的快递电话,在抖音火山版中拨打商城<搜索内容>订单的快递电话,"[{""name"": ""call_order_courier(app, search_info_slot)"", ""description"": ""在app中拨打指定订单的快递电话""}]"
单任务,购物-物流,抖音火山版,帮我催一下货吧，抖音火山版商城里的兰蔻小黑瓶订单,在抖音火山版中给商城中的兰蔻小黑瓶订单催发货,在抖音火山版中给商城<搜索内容>订单催发货,"[{""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"", ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""}]"
单任务,购物-物流,抖音火山版,帮我在抖音火山版商城中的美的洗衣机订单催下配送,在抖音火山版中给商城中的美的洗衣机订单催配送,在抖音火山版中给商城<搜索内容>订单催配送,"[{""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"", ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""}]"
单任务,购物-物流,抖音火山版,优衣库羽绒服真不错，帮我确认下收货，抖音火山版商城里的优衣库羽绒服订单,在抖音火山版中给商城中的给优衣库羽绒服订单确认收货,在抖音火山版中给商城<搜索内容>订单确认收货,"[{""name"": ""manage_order_logistics_status(app, search_info_slot, action_type)"", ""description"": ""在app中管理指定订单的物流状态,包括催发货,催配送,确认收货""}]"
单任务,购物-订单,抖音火山版,红腰子不行啊，帮我在申请一下售后呗，抖音火山版商城中的资生堂红腰子订单,在抖音火山版中给商城中德资生堂红腰子订单申请售后,在抖音火山版中给商城<搜索内容>订单申请售后,"[{""name"": ""apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)"", ""description"": ""在app应用程序中搜索订单,并申请售后""}]"
单任务,购物-订单,抖音火山版,连衣裙尺码不合适啊，帮我退一下货，抖音火山版商城里的ZARA连衣裙订单,在抖音火山版中给商城中的ZARA连衣裙订单申请退货且原因为尺码不合适,在抖音火山版中给商城<搜索内容>订单申请<售后类型>且原因为<原因>,"[{""name"": ""apply_after_sales(app, search_info_slot, after_sales_type, reason_slot)"", ""description"": ""在app应用程序中搜索订单,并申请售后""}]"
单任务,购物-评价,抖音火山版,抖音火山版商城中的完美日记动物眼影盘订单，帮我评价一下哈,在抖音火山版中评价商城中的完美日记动物眼影盘订单,在抖音火山版中评价商城<搜索内容>订单,"[{""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"", ""description"": ""在app应用程序评价商城中的指定订单""}]"
单任务,购物-评价,抖音火山版,帮我给抖音火山版商城里的YSL小金条订单五星好评,在抖音火山版中评价商城中的YSL小金条订单且星级为五星,在抖音火山版中评价商城<搜索内容>订单且星级为<星级>,"[{""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"", ""description"": ""在app应用程序评价商城中的指定订单""}]"
单任务,购物-评价,抖音火山版,保湿乳保湿效果很好啊，帮我评价下抖音火山版商城中的珂润保湿乳订单,在抖音火山版中评价商城中的珂润保湿乳订单且评价内容为保湿效果很好,在抖音火山版中评价商城<搜索内容>订单且评价内容为<文本内容>,"[{""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"", ""description"": ""在app应用程序评价商城中的指定订单""}]"
单任务,购物-评价,抖音火山版,抖音火山版商城里的韩束面膜订单，评价时上传下图片,在抖音火山版中评价商城中德韩束面膜订单并上传图片,在抖音火山版中评价商城<搜索内容>订单并上传图片,"[{""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"", ""description"": ""在app应用程序评价商城中的指定订单""}]"
单任务,购物-评价,抖音火山版,抖音火山版商城中的自然堂洗面奶订单，评价给四星，内容写清洁力不错，再上传下图片,在抖音火山版中评价商城中的自然堂洗面奶订单，星级为四星，评价内容为“清洁力不错”，并上传图片,在抖音火山版中评价商城<搜索内容>订单，星级为<星级>，评价内容为<文本内容>，并上传图片,"[{""name"": ""rate_order(app, search_info_slot, rating_slot, review_text_slot, upload_images)"", ""description"": ""在app应用程序评价商城中的指定订单""}]"
单任务,购物-收藏,阿里巴巴,YOYO，麻烦帮我把阿里巴巴收藏的一次性纸杯删除下,在阿里巴巴中删除收藏中的一次性纸杯,在阿里巴巴中删除收藏中的<搜索内容>,"[{""name"": ""delete_favorite_goods(app, search_info_slot)"", ""description"": ""在app程序的商品收藏夹中搜索指定商品并将其删除""}]"
单任务,购物-搜索,阿里巴巴,嘿，YOYO，在阿里巴巴上搜下纯棉T恤,在阿里巴巴中搜索纯棉T恤,在阿里巴巴中搜索<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
单任务,购物-打开,阿里巴巴,嘿，YOYO，在阿里巴巴上打开纯棉袜子,在阿里巴巴中打开纯棉袜子,在阿里巴巴中打开<搜索内容>,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
单任务,购物-打开,阿里巴巴,看下阿里巴巴的不锈钢保温杯评论区,在阿里巴巴中查看不锈钢保温杯的评论区,在阿里巴巴中打开<搜索内容>的评论,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
单任务,购物-打开,阿里巴巴,看看阿里巴巴大号收纳箱的规格详情页,在阿里巴巴中查看大号收纳箱的规格详情页,在阿里巴巴中打开<搜索内容>的规格,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
单任务,购物-打开,阿里巴巴,哎，想看下阿里巴巴中的智能手环的参数详情页,在阿里巴巴中查看智能手环的参数详情页,在阿里巴巴中打开<搜索内容>的参数,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
单任务,购物-打开,阿里巴巴,方便帮我打开阿里巴巴折叠桌椅的详情吗,在阿里巴巴中打开折叠桌椅的详情,在阿里巴巴中打开<搜索内容>的详情,"[{""name"": ""open_goods_page(app, search_info_slot, page_type)"", ""description"": ""通过商品名称找到并打开其详情页面,可以指定子页面,例如评论、规格、参数、详情等""}]"
单任务,购物-搜索,阿里巴巴,太慢了啊，赶紧帮我查下阿里巴巴蓝牙耳机送达到深圳市南山区科技园科苑路8号的时间,在阿里巴巴中查看蓝牙耳机送达深圳市南山区科技园科苑路8号的时间,在阿里巴巴中查看<搜索内容>送达<地址>的时间,"[{""name"": ""search_delivery_time(app, search_info_slot, address_slot)"", ""description"": ""搜索一件商品并根据给出的地址查询该商品送达该地址的预估运送时间""}]"
单任务,购物-购物车,天猫,悠悠，可以帮我添加3袋三只松鼠每日坚果到天猫的购物车中吗,在天猫中把3袋三只松鼠每日坚果加入购物车,在天猫中将<数量>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
单任务,购物-购物车,天猫,天气冷了，可以帮我把M码的优衣库摇粒绒外套添加到天猫的购物车中吗,在天猫中把M码的优衣库摇粒绒外套加入购物车,在天猫中将<规格>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
单任务,购物-购物车,天猫,麻烦帮把戴森吹风机添加到天猫的购物车中,在天猫中把戴森吹风机加入购物车,在天猫中将<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
单任务,购物-购物车,天猫,在天猫中把送至上海市浦东新区张江高科技园区博云路2号的3件XL码的太平鸟羽绒服加入购物车,在天猫中把加入购物车的3件XL码太平鸟羽绒服送至上海市浦东新区张江高科技园区博云路2号,在天猫中将送至<地址>的<数量><规格>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
单任务,购物-购物车,天猫,在天猫中把送至北京市朝阳区建国路88号的九阳全自动豆浆机加入购物车,在天猫中把加入购物车的九阳全自动豆浆机送至北京市朝阳区建国路88号,在天猫中将送至<地址>的<搜索内容>加入购物车,"[{""name"": ""add_into_cart(app, search_info_slot, specification_slot, num_slot, address_slot)"", ""description"": ""搜索商品并将其添加入购物车,可以指定添加的商品规格、数量并选择收货地址""}]"
单任务,购物-下单,阿里巴巴,帮我在阿里巴巴下单下办公文件柜,在阿里巴巴中下单办公文件柜,在阿里巴巴中下单<搜索内容>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
单任务,购物-下单,阿里巴巴,悠悠，在阿里巴巴中下单20cm的毛绒玩具,在阿里巴巴中下单20cm的毛绒玩具,在阿里巴巴中下单<规格>的<搜索内容>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
单任务,购物-下单,阿里巴巴,帮我在阿里巴巴下单50双一次性手套,在阿里巴巴中下单50双一次性手套,在阿里巴巴中下单<数量>的<搜索内容>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
单任务,购物-下单,阿里巴巴,家里冰箱坏了啊，YOYO，可以帮我在阿里巴巴下单下海尔冰箱并送到成都市锦江区红星路二段88号吗,在阿里巴巴中下单海尔冰箱送至成都市锦江区红星路二段88号,在阿里巴巴中下单<搜索内容>送至<地址>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
单任务,购物-下单,阿里巴巴,帮我用微信支付在阿里巴巴下单男士皮鞋,在阿里巴巴中用微信支付下单男士皮鞋,在阿里巴巴中用<支付方式>下单<搜索内容>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
单任务,购物-下单,阿里巴巴,阿里巴巴4包100抽湿纸巾用支付宝下单送上海市静安区南京西路1266号,在阿里巴巴中下单4包100抽的湿纸巾用支付宝支付并送至上海市静安区南京西路1266号,在阿里巴巴中下单<数量><规格>的<搜索内容>用<支付方式>送至<地址>,"[{""name"": ""order_to_purchase_goods(app, search_info_slot, specification_slot, num_slot, address_slot, payment_method_slot)"", ""description"": ""通过商品名称找到商品并下单购买,可以指定添加的商品规格、数量并选择收货地址以及支付方式""}]"
单任务,购物-收藏,阿里巴巴,收藏下阿里巴巴的工业级胶带,在阿里巴巴中收藏工业级胶带,在阿里巴巴中收藏<搜索内容>,"[{""name"": ""add_into_favorite_goods(app, search_info_slot)"", ""description"": ""在app程序中搜索商品,并将其添加到商品收藏夹中""}]"
单任务,购物-搜索,阿里巴巴,听说1688严选手机壳不错，帮我用阿里巴巴搜下,在阿里巴巴中搜索1688严选的手机壳,在阿里巴巴中搜索1688严选的<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
单任务,购物-搜索,阿里巴巴,快，YOYO，搜索下阿里巴巴新品的数据线,在阿里巴巴中搜索新品的数据线,在阿里巴巴中搜索新品的<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
单任务,购物-搜索,阿里巴巴,搜一下阿里巴巴中工厂的定制礼盒,在阿里巴巴中搜索找工厂的定制礼盒,在阿里巴巴中搜索找工厂的<搜索内容>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
单任务,购物-搜索,阿里巴巴,可以帮我在阿里巴巴搜索筛选下可定制的帆布包吗,在阿里巴巴中搜索帆布包筛选可定制,在阿里巴巴中搜索<搜索内容>筛选<筛选条件>,"[{""name"": ""search_goods(app, search_info_slot, page_type, filter_detail_slot, type_slot, area_slot, order_type)"", ""description"": ""在app程序中依据名称搜索商品,可以指定具体在哪一个子页面进行搜索, 搜索结果的筛选条件和排序方式""}]"
单任务,购物-打开,阿里巴巴,打开阿里巴巴得力办公用品旗舰店,在阿里巴巴中打开得力办公用品旗舰店店铺,在阿里巴巴中打开<店铺名>店铺,"[{""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"", ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""}]"
单任务,购物-搜索,阿里巴巴,儿子想要一款好用的中性笔，帮我在阿里巴巴晨光文具店铺内搜下中性笔,在阿里巴巴中晨光文具店铺内搜索中性笔,在阿里巴巴中<店铺名>店铺内搜索<搜索内容>,"[{""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"", ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""}]"
单任务,购物-打开,阿里巴巴,帮我打开下阿里巴巴3M官方店铺防护用品的类别页面,在阿里巴巴中打开3M官方店铺的防护用品类别,在阿里巴巴中打开<店铺名>店铺的<类别>类别,"[{""name"": ""open_stores_page(app, store_name_slot, search_info_slot, category_slot)"", ""description"": ""通过店铺名称找到并打开店铺的内容页面,可以在其中进行店铺内搜索或打开类别子页面""}]"
单任务,购物-收藏,阿里巴巴,手机壳坏了，帮我关注下阿里巴巴华为配件专营店,在阿里巴巴中关注华为配件专营店店铺,在阿里巴巴中关注<店铺名>店铺,"[{""name"": ""add_into_favorite_stores(app, search_info_slot)"", ""description"": ""在app程序中按照店铺名搜索店铺,并将其添加到店铺收藏夹中""}]"
单任务,购物-搜索,阿里巴巴,搜下阿里巴巴里在广东省广州市的好运蔬果店,在阿里巴巴中搜索好运蔬果店并筛选所在地为广东省广州市,在阿里巴巴中搜索店铺<店铺名>筛选所在地为<省><市>,"[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""在app程序中依据名称搜索店铺,可以使用筛选器限制搜索结果,也可以指定搜索结果的排序方式""}]"
单任务,购物-搜索,阿里巴巴,能在阿里巴巴里搜下玩具批发并筛选工厂,在阿里巴巴中搜索店铺玩具批发并筛选工厂,在阿里巴巴中搜索店铺<搜索内容>筛选工厂,"[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""在app程序中依据名称搜索店铺,可以使用筛选器限制搜索结果,也可以指定搜索结果的排序方式""}]"
单任务,购物-搜索,阿里巴巴,YOYO，帮我在阿里巴巴搜下家居用品店并筛选下全店包邮,在阿里巴巴中搜索店铺家居用品筛选全店包邮,在阿里巴巴中搜索店铺<搜索内容>筛选全店包邮,"[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""在app程序中依据名称搜索店铺,可以使用筛选器限制搜索结果,也可以指定搜索结果的排序方式""}]"
单任务,购物-搜索,阿里巴巴,求求了，YOYO，帮我看下阿里巴巴符合ISO9001认证厂商资质的电子元件店铺,在阿里巴巴中查看电子元件店铺并筛选厂商资质为ISO9001认证,在阿里巴巴中搜索店铺<搜索内容>筛选厂商资质为<厂商资质>,"[{""name"": ""search_stores(app, search_info_slot, filter_type, filter_detail_slot, location_slot, qualification_slot, order_type)"", ""description"": ""在app程序中依据名称搜索店铺,可以使用筛选器限制搜索结果,也可以指定搜索结果的排序方式""}]"
